geoid,year,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,state,county,tract
34003003300,2016,563.0,103.0,81.0,17.0,704.0,219.0,50.0,0.0,34,003,003300
34003003401,2016,263.0,72.0,82.0,29.0,310.0,134.0,35.0,16.0,34,003,003401
34003003402,2016,339.0,140.0,54.0,28.0,406.0,246.0,13.0,11.0,34,003,003402
34003003500,2016,305.0,75.0,0.0,0.0,397.0,105.0,0.0,9.0,34,003,003500
34003004001,2016,213.0,33.0,0.0,9.0,219.0,54.0,9.0,0.0,34,003,004001
34003004002,2016,447.0,146.0,28.0,18.0,355.0,173.0,21.0,40.0,34,003,004002
34003005000,2016,602.0,259.0,62.0,0.0,508.0,232.0,44.0,18.0,34,003,005000
34003006100,2016,584.0,274.0,114.0,108.0,818.0,238.0,42.0,37.0,34,003,006100
34003006201,2016,371.0,193.0,77.0,0.0,404.0,173.0,64.0,6.0,34,003,006201
34003006202,2016,652.0,206.0,109.0,88.0,859.0,449.0,104.0,34.0,34,003,006202
34003006300,2016,661.0,237.0,113.0,36.0,655.0,313.0,58.0,32.0,34,003,006300
34003007001,2016,455.0,217.0,90.0,23.0,588.0,156.0,17.0,14.0,34,003,007001
34003007002,2016,519.0,250.0,125.0,78.0,580.0,280.0,84.0,63.0,34,003,007002
34003008000,2016,1227.0,422.0,86.0,105.0,1209.0,468.0,96.0,73.0,34,003,008000
34003009100,2016,600.0,344.0,143.0,26.0,552.0,288.0,109.0,21.0,34,003,009100
34003009200,2016,398.0,208.0,128.0,53.0,430.0,225.0,128.0,39.0,34,003,009200
34003010100,2016,616.0,172.0,13.0,15.0,638.0,212.0,85.0,81.0,34,003,010100
34003010200,2016,304.0,110.0,27.0,40.0,446.0,66.0,44.0,12.0,34,003,010200
34003010300,2016,771.0,244.0,97.0,37.0,824.0,472.0,32.0,31.0,34,003,010300
34003011100,2016,303.0,79.0,25.0,12.0,316.0,56.0,45.0,0.0,34,003,011100
34003011200,2016,233.0,96.0,22.0,5.0,444.0,82.0,18.0,0.0,34,003,011200
34003011300,2016,224.0,90.0,51.0,13.0,550.0,84.0,29.0,0.0,34,003,011300
34003011400,2016,608.0,111.0,33.0,68.0,537.0,107.0,26.0,0.0,34,003,011400
34003012001,2016,809.0,183.0,12.0,27.0,750.0,145.0,52.0,0.0,34,003,012001
34003012002,2016,307.0,203.0,39.0,7.0,472.0,163.0,13.0,36.0,34,003,012002
34003013001,2016,1162.0,483.0,157.0,98.0,1442.0,292.0,68.0,64.0,34,003,013001
34003013002,2016,723.0,215.0,151.0,100.0,821.0,286.0,68.0,48.0,34,003,013002
34003014000,2016,697.0,406.0,73.0,44.0,656.0,345.0,8.0,52.0,34,003,014000
34003015100,2016,169.0,88.0,279.0,30.0,334.0,167.0,137.0,29.0,34,003,015100
34003015200,2016,370.0,232.0,72.0,40.0,710.0,362.0,27.0,59.0,34,003,015200
34003015300,2016,348.0,29.0,0.0,33.0,529.0,153.0,10.0,9.0,34,003,015300
34003015400,2016,787.0,133.0,74.0,90.0,932.0,200.0,28.0,55.0,34,003,015400
34003015500,2016,629.0,441.0,273.0,88.0,766.0,628.0,97.0,148.0,34,003,015500
