geoid,year,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,state,county,tract
34003047200,2015,527.0,285.0,192.0,4.0,588.0,299.0,112.0,92.0,34,003,047200
34003047300,2015,306.0,234.0,150.0,15.0,388.0,233.0,81.0,27.0,34,003,047300
34003047400,2015,765.0,297.0,133.0,102.0,737.0,406.0,58.0,66.0,34,003,047400
34003047500,2015,795.0,470.0,321.0,139.0,1078.0,445.0,127.0,59.0,34,003,047500
34003048100,2015,397.0,209.0,56.0,36.0,472.0,142.0,46.0,44.0,34,003,048100
34003048200,2015,844.0,566.0,107.0,52.0,782.0,463.0,93.0,25.0,34,003,048200
34003049001,2015,646.0,256.0,122.0,20.0,534.0,340.0,103.0,19.0,34,003,049001
34003049002,2015,742.0,179.0,55.0,22.0,668.0,341.0,37.0,2.0,34,003,049002
34003050000,2015,510.0,192.0,11.0,37.0,487.0,196.0,12.0,0.0,34,003,050000
34003051100,2015,643.0,229.0,50.0,30.0,684.0,346.0,28.0,34.0,34,003,051100
34003051200,2015,303.0,124.0,30.0,5.0,366.0,167.0,47.0,14.0,34,003,051200
34003051300,2015,618.0,222.0,43.0,15.0,501.0,219.0,11.0,6.0,34,003,051300
34003051400,2015,525.0,360.0,99.0,23.0,702.0,297.0,25.0,0.0,34,003,051400
34003052100,2015,477.0,161.0,25.0,9.0,548.0,210.0,42.0,3.0,34,003,052100
34003052200,2015,535.0,150.0,23.0,56.0,721.0,253.0,41.0,0.0,34,003,052200
34003053100,2015,307.0,296.0,124.0,37.0,339.0,157.0,121.0,3.0,34,003,053100
34003053200,2015,1054.0,320.0,415.0,80.0,1211.0,462.0,68.0,116.0,34,003,053200
34003054100,2015,640.0,261.0,114.0,29.0,999.0,325.0,150.0,0.0,34,003,054100
34003054200,2015,270.0,129.0,68.0,19.0,496.0,193.0,7.0,0.0,34,003,054200
34003054300,2015,585.0,345.0,410.0,323.0,754.0,655.0,95.0,117.0,34,003,054300
34003054400,2015,691.0,280.0,71.0,59.0,1201.0,438.0,33.0,76.0,34,003,054400
