,geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
0,34003001000,2009,"Census Tract 10, Bergen County, New Jersey",6600.0,127757.0,731500.0,5600.0,87.0,0.0,651.0,0.0,37.0,66.0,159.0,34,003,001000
1,34003002100,2009,"Census Tract 21, Bergen County, New Jersey",2008.0,167917.0,1000001.0,1327.0,43.0,7.0,485.0,0.0,0.0,0.0,146.0,34,003,002100
2,34003002200,2009,"Census Tract 22, Bergen County, New Jersey",5196.0,89615.0,535700.0,3531.0,18.0,0.0,1202.0,0.0,22.0,47.0,376.0,34,003,002200
3,34003002300,2009,"Census Tract 23, Bergen County, New Jersey",6158.0,93640.0,662300.0,4262.0,105.0,0.0,1713.0,0.0,0.0,35.0,43.0,34,003,002300
4,34003003100,2009,"Census Tract 31, Bergen County, New Jersey",4900.0,92386.0,382900.0,1860.0,242.0,0.0,1719.0,0.0,0.0,67.0,1012.0,34,003,003100
5,34003003200,2009,"Census Tract 32, Bergen County, New Jersey",3897.0,63365.0,356600.0,1770.0,299.0,0.0,913.0,0.0,76.0,40.0,799.0,34,003,003200
6,34003003300,2009,"Census Tract 33, Bergen County, New Jersey",6715.0,92903.0,379000.0,3140.0,370.0,0.0,1884.0,0.0,0.0,43.0,1278.0,34,003,003300
7,34003003401,2009,"Census Tract 34.01, Bergen County, New Jersey",2715.0,103083.0,399700.0,1418.0,130.0,0.0,536.0,0.0,0.0,124.0,507.0,34,003,003401
8,34003003402,2009,"Census Tract 34.02, Bergen County, New Jersey",3379.0,89719.0,408000.0,2254.0,130.0,0.0,705.0,0.0,0.0,12.0,278.0,34,003,003402
9,34003003500,2009,"Census Tract 35, Bergen County, New Jersey",3969.0,54092.0,416300.0,1127.0,666.0,0.0,967.0,0.0,0.0,112.0,1097.0,34,003,003500
10,34003004000,2009,"Census Tract 40, Bergen County, New Jersey",7929.0,73911.0,374800.0,3921.0,377.0,0.0,738.0,0.0,136.0,86.0,2671.0,34,003,004000
11,34003005000,2009,"Census Tract 50, Bergen County, New Jersey",5962.0,63903.0,442500.0,4616.0,0.0,0.0,575.0,0.0,0.0,0.0,771.0,34,003,005000
12,34003006100,2009,"Census Tract 61, Bergen County, New Jersey",6188.0,61425.0,486100.0,3767.0,99.0,0.0,716.0,0.0,10.0,35.0,1561.0,34,003,006100
13,34003006200,2009,"Census Tract 62, Bergen County, New Jersey",9344.0,76133.0,463700.0,6477.0,220.0,9.0,1379.0,0.0,0.0,47.0,1212.0,34,003,006200
14,34003006300,2009,"Census Tract 63, Bergen County, New Jersey",7145.0,64583.0,379800.0,3733.0,54.0,0.0,353.0,0.0,0.0,120.0,2885.0,34,003,006300
15,34003007001,2009,"Census Tract 70.01, Bergen County, New Jersey",4039.0,89375.0,591900.0,2734.0,87.0,0.0,901.0,0.0,0.0,24.0,293.0,34,003,007001
16,34003007002,2009,"Census Tract 70.02, Bergen County, New Jersey",4569.0,136207.0,813800.0,2710.0,62.0,0.0,1607.0,0.0,0.0,0.0,190.0,34,003,007002
17,34003008000,2009,"Census Tract 80, Bergen County, New Jersey",8434.0,111786.0,603900.0,5901.0,0.0,0.0,1884.0,0.0,0.0,0.0,649.0,34,003,008000
18,34003009100,2009,"Census Tract 91, Bergen County, New Jersey",5050.0,145087.0,722700.0,3532.0,82.0,0.0,1256.0,0.0,0.0,0.0,180.0,34,003,009100
19,34003009200,2009,"Census Tract 92, Bergen County, New Jersey",3382.0,134228.0,727900.0,2791.0,63.0,0.0,446.0,0.0,0.0,23.0,59.0,34,003,009200
