,geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
0,34003001000,2011,"Census Tract 10, Bergen County, New Jersey",6511.0,126804.0,721600.0,5264.0,100.0,0.0,682.0,0.0,0.0,26.0,439.0,34,003,001000
1,34003002100,2011,"Census Tract 21, Bergen County, New Jersey",2072.0,178889.0,1000001.0,1272.0,26.0,6.0,635.0,0.0,0.0,8.0,125.0,34,003,002100
2,34003002200,2011,"Census Tract 22, Bergen County, New Jersey",5034.0,87763.0,501100.0,3326.0,30.0,0.0,1276.0,0.0,16.0,42.0,344.0,34,003,002200
3,34003002300,2011,"Census Tract 23, Bergen County, New Jersey",5710.0,96757.0,686100.0,3599.0,87.0,0.0,1779.0,0.0,0.0,52.0,193.0,34,003,002300
4,34003003100,2011,"Census Tract 31, Bergen County, New Jersey",5244.0,94709.0,368300.0,2343.0,352.0,0.0,1296.0,0.0,0.0,40.0,1213.0,34,003,003100
5,34003003200,2011,"Census Tract 32, Bergen County, New Jersey",4076.0,61509.0,344900.0,1547.0,86.0,0.0,1118.0,0.0,74.0,43.0,1208.0,34,003,003200
6,34003003300,2011,"Census Tract 33, Bergen County, New Jersey",6452.0,100097.0,372800.0,2876.0,335.0,0.0,1816.0,0.0,77.0,135.0,1213.0,34,003,003300
7,34003003401,2011,"Census Tract 34.01, Bergen County, New Jersey",3061.0,110511.0,407800.0,2191.0,1.0,0.0,408.0,0.0,4.0,39.0,418.0,34,003,003401
8,34003003402,2011,"Census Tract 34.02, Bergen County, New Jersey",3723.0,99257.0,387600.0,2305.0,88.0,0.0,749.0,0.0,10.0,67.0,504.0,34,003,003402
9,34003003500,2011,"Census Tract 35, Bergen County, New Jersey",4107.0,51783.0,386000.0,1261.0,347.0,0.0,992.0,0.0,0.0,135.0,1372.0,34,003,003500
10,34003004001,2011,"Census Tract 40.01, Bergen County, New Jersey",3293.0,82627.0,357500.0,1368.0,157.0,0.0,318.0,0.0,101.0,79.0,1270.0,34,003,004001
11,34003004002,2011,"Census Tract 40.02, Bergen County, New Jersey",4871.0,75516.0,359300.0,2475.0,114.0,0.0,829.0,0.0,17.0,33.0,1403.0,34,003,004002
12,34003005000,2011,"Census Tract 50, Bergen County, New Jersey",6092.0,67500.0,419400.0,4352.0,26.0,0.0,914.0,0.0,0.0,91.0,709.0,34,003,005000
13,34003006100,2011,"Census Tract 61, Bergen County, New Jersey",6222.0,57106.0,440100.0,3367.0,183.0,0.0,587.0,0.0,12.0,38.0,2035.0,34,003,006100
14,34003006201,2011,"Census Tract 62.01, Bergen County, New Jersey",4757.0,67424.0,481900.0,3032.0,75.0,0.0,617.0,0.0,0.0,48.0,985.0,34,003,006201
15,34003006202,2011,"Census Tract 62.02, Bergen County, New Jersey",4694.0,79964.0,397700.0,3009.0,237.0,8.0,841.0,0.0,0.0,41.0,558.0,34,003,006202
16,34003006300,2011,"Census Tract 63, Bergen County, New Jersey",7796.0,70149.0,384300.0,4089.0,50.0,0.0,465.0,0.0,0.0,121.0,3071.0,34,003,006300
17,34003007001,2011,"Census Tract 70.01, Bergen County, New Jersey",4049.0,112425.0,618700.0,2567.0,51.0,0.0,993.0,0.0,0.0,25.0,413.0,34,003,007001
18,34003007002,2011,"Census Tract 70.02, Bergen County, New Jersey",4305.0,122794.0,798000.0,2550.0,56.0,0.0,1518.0,0.0,0.0,8.0,173.0,34,003,007002
19,34003008000,2011,"Census Tract 80, Bergen County, New Jersey",8459.0,104386.0,600300.0,5953.0,0.0,0.0,1766.0,0.0,0.0,0.0,740.0,34,003,008000
20,34003009100,2011,"Census Tract 91, Bergen County, New Jersey",4865.0,138789.0,731400.0,3332.0,5.0,0.0,1329.0,0.0,13.0,11.0,175.0,34,003,009100
21,34003009200,2011,"Census Tract 92, Bergen County, New Jersey",3376.0,131058.0,721900.0,2817.0,51.0,0.0,391.0,0.0,9.0,31.0,77.0,34,003,009200
