,geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
0,34003001000,2010,"Census Tract 10, Bergen County, New Jersey",6489.0,131563.0,741400.0,5523.0,73.0,0.0,676.0,0.0,50.0,41.0,126.0,34,003,001000
1,34003002100,2010,"Census Tract 21, Bergen County, New Jersey",1926.0,172054.0,1000001.0,1217.0,31.0,7.0,509.0,0.0,0.0,9.0,153.0,34,003,002100
2,34003002200,2010,"Census Tract 22, Bergen County, New Jersey",5104.0,87270.0,530300.0,3518.0,13.0,0.0,1136.0,0.0,18.0,40.0,379.0,34,003,002200
3,34003002300,2010,"Census Tract 23, Bergen County, New Jersey",5682.0,102132.0,720800.0,3690.0,95.0,0.0,1782.0,0.0,0.0,35.0,80.0,34,003,002300
4,34003003100,2010,"Census Tract 31, Bergen County, New Jersey",5095.0,91106.0,367300.0,2152.0,346.0,0.0,1498.0,0.0,0.0,45.0,1054.0,34,003,003100
5,34003003200,2010,"Census Tract 32, Bergen County, New Jersey",3966.0,57621.0,352600.0,1570.0,132.0,0.0,1121.0,0.0,75.0,36.0,1032.0,34,003,003200
6,34003003300,2010,"Census Tract 33, Bergen County, New Jersey",6664.0,95948.0,384000.0,3131.0,272.0,0.0,1717.0,0.0,0.0,188.0,1356.0,34,003,003300
7,34003003401,2010,"Census Tract 34.01, Bergen County, New Jersey",3049.0,102841.0,397000.0,1779.0,59.0,0.0,544.0,0.0,0.0,97.0,570.0,34,003,003401
8,34003003402,2010,"Census Tract 34.02, Bergen County, New Jersey",3713.0,102135.0,404300.0,2413.0,163.0,0.0,791.0,0.0,8.0,62.0,276.0,34,003,003402
9,34003003500,2010,"Census Tract 35, Bergen County, New Jersey",4030.0,53622.0,399300.0,1381.0,411.0,0.0,934.0,0.0,0.0,114.0,1190.0,34,003,003500
10,34003004001,2010,"Census Tract 40.01, Bergen County, New Jersey",3196.0,66681.0,392000.0,1300.0,187.0,0.0,395.0,0.0,129.0,16.0,1169.0,34,003,004001
11,34003004002,2010,"Census Tract 40.02, Bergen County, New Jersey",4962.0,82100.0,361600.0,2589.0,287.0,0.0,700.0,0.0,15.0,16.0,1355.0,34,003,004002
12,34003005000,2010,"Census Tract 50, Bergen County, New Jersey",6060.0,62255.0,421700.0,4613.0,0.0,0.0,750.0,0.0,0.0,0.0,697.0,34,003,005000
13,34003006100,2010,"Census Tract 61, Bergen County, New Jersey",5943.0,53862.0,466500.0,3399.0,108.0,0.0,722.0,0.0,14.0,30.0,1670.0,34,003,006100
14,34003006201,2010,"Census Tract 62.01, Bergen County, New Jersey",5062.0,75593.0,522900.0,3634.0,97.0,0.0,530.0,0.0,0.0,26.0,775.0,34,003,006201
15,34003006202,2010,"Census Tract 62.02, Bergen County, New Jersey",4835.0,86406.0,416200.0,3003.0,167.0,16.0,854.0,0.0,0.0,18.0,777.0,34,003,006202
16,34003006300,2010,"Census Tract 63, Bergen County, New Jersey",7525.0,68372.0,390900.0,3726.0,51.0,0.0,348.0,0.0,0.0,114.0,3286.0,34,003,006300
17,34003007001,2010,"Census Tract 70.01, Bergen County, New Jersey",3847.0,102348.0,611400.0,2380.0,63.0,0.0,958.0,0.0,0.0,25.0,421.0,34,003,007001
18,34003007002,2010,"Census Tract 70.02, Bergen County, New Jersey",4471.0,124865.0,792500.0,2661.0,75.0,0.0,1539.0,0.0,0.0,7.0,189.0,34,003,007002
19,34003008000,2010,"Census Tract 80, Bergen County, New Jersey",8380.0,105625.0,592800.0,5917.0,0.0,0.0,1625.0,0.0,0.0,0.0,838.0,34,003,008000
20,34003009100,2010,"Census Tract 91, Bergen County, New Jersey",4850.0,147714.0,744300.0,3377.0,0.0,0.0,1293.0,0.0,10.0,13.0,157.0,34,003,009100
21,34003009200,2010,"Census Tract 92, Bergen County, New Jersey",3374.0,135694.0,737000.0,2812.0,73.0,0.0,399.0,0.0,0.0,44.0,46.0,34,003,009200
22,34003010100,2010,"Census Tract 101, Bergen County, New Jersey",5915.0,86182.0,403500.0,4259.0,70.0,0.0,1087.0,0.0,0.0,66.0,433.0,34,003,010100
23,34003010200,2010,"Census Tract 102, Bergen County, New Jersey",3983.0,63750.0,394200.0,2378.0,62.0,37.0,751.0,0.0,17.0,39.0,736.0,34,003,010200
24,34003010300,2010,"Census Tract 103, Bergen County, New Jersey",7488.0,91283.0,399200.0,4646.0,50.0,0.0,1492.0,0.0,32.0,15.0,1253.0,34,003,010300
