geoid,year,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,state,county,tract
34003001000,2010,793.0,496.0,74.0,72.0,791.0,389.0,33.0,11.0,34,003,001000
34003002100,2010,270.0,91.0,111.0,11.0,350.0,78.0,61.0,16.0,34,003,002100
34003002200,2010,380.0,211.0,39.0,9.0,403.0,141.0,14.0,0.0,34,003,002200
34003002300,2010,651.0,226.0,65.0,23.0,811.0,210.0,35.0,33.0,34,003,002300
34003003100,2010,424.0,131.0,29.0,32.0,488.0,176.0,34.0,0.0,34,003,003100
34003003200,2010,501.0,51.0,17.0,18.0,411.0,78.0,49.0,10.0,34,003,003200
34003003300,2010,541.0,186.0,24.0,39.0,592.0,199.0,69.0,24.0,34,003,003300
34003003401,2010,252.0,57.0,91.0,5.0,258.0,166.0,18.0,24.0,34,003,003401
34003003402,2010,285.0,89.0,120.0,15.0,404.0,125.0,43.0,15.0,34,003,003402
34003003500,2010,239.0,84.0,71.0,4.0,457.0,64.0,35.0,4.0,34,003,003500
34003004001,2010,167.0,26.0,18.0,0.0,173.0,87.0,11.0,0.0,34,003,004001
34003004002,2010,433.0,117.0,15.0,9.0,249.0,194.0,44.0,11.0,34,003,004002
34003005000,2010,468.0,125.0,45.0,2.0,420.0,171.0,0.0,0.0,34,003,005000
34003006100,2010,519.0,153.0,88.0,25.0,636.0,231.0,92.0,17.0,34,003,006100
34003006201,2010,352.0,211.0,60.0,32.0,538.0,143.0,83.0,0.0,34,003,006201
34003006202,2010,631.0,282.0,97.0,65.0,672.0,289.0,67.0,88.0,34,003,006202
34003006300,2010,637.0,194.0,88.0,47.0,674.0,264.0,44.0,40.0,34,003,006300
34003007001,2010,385.0,177.0,54.0,56.0,537.0,142.0,64.0,0.0,34,003,007001
34003007002,2010,468.0,277.0,242.0,31.0,590.0,166.0,54.0,10.0,34,003,007002
34003008000,2010,874.0,338.0,294.0,64.0,1145.0,480.0,208.0,43.0,34,003,008000
34003009100,2010,531.0,208.0,194.0,133.0,525.0,425.0,116.0,8.0,34,003,009100
34003009200,2010,379.0,220.0,117.0,68.0,398.0,236.0,59.0,35.0,34,003,009200
34003010100,2010,562.0,156.0,0.0,0.0,663.0,76.0,48.0,14.0,34,003,010100
34003010200,2010,371.0,148.0,12.0,0.0,276.0,85.0,36.0,0.0,34,003,010200
34003010300,2010,681.0,167.0,71.0,9.0,488.0,145.0,71.0,60.0,34,003,010300
34003011100,2010,284.0,60.0,0.0,0.0,288.0,102.0,10.0,0.0,34,003,011100
34003011200,2010,184.0,113.0,25.0,13.0,315.0,106.0,12.0,14.0,34,003,011200
34003011300,2010,228.0,35.0,56.0,0.0,374.0,67.0,35.0,26.0,34,003,011300
34003011400,2010,272.0,97.0,57.0,0.0,366.0,134.0,0.0,0.0,34,003,011400
34003012001,2010,432.0,99.0,53.0,0.0,480.0,147.0,11.0,0.0,34,003,012001
34003012002,2010,388.0,74.0,32.0,0.0,205.0,100.0,19.0,0.0,34,003,012002
34003013001,2010,855.0,463.0,123.0,127.0,1184.0,264.0,192.0,24.0,34,003,013001
34003013002,2010,828.0,300.0,87.0,78.0,924.0,482.0,58.0,0.0,34,003,013002
34003014000,2010,734.0,179.0,24.0,36.0,739.0,226.0,20.0,13.0,34,003,014000
34003015100,2010,239.0,124.0,243.0,20.0,325.0,230.0,74.0,0.0,34,003,015100
34003015200,2010,397.0,190.0,87.0,23.0,537.0,323.0,147.0,0.0,34,003,015200
34003015300,2010,343.0,37.0,15.0,0.0,365.0,260.0,52.0,0.0,34,003,015300
34003015400,2010,296.0,140.0,24.0,13.0,284.0,171.0,38.0,11.0,34,003,015400
34003015500,2010,768.0,296.0,459.0,20.0,831.0,307.0,141.0,73.0,34,003,015500
34003016000,2010,584.0,224.0,173.0,16.0,992.0,397.0,103.0,7.0,34,003,016000
34003017100,2010,883.0,441.0,194.0,155.0,873.0,512.0,82.0,11.0,34,003,017100
34003017200,2010,521.0,136.0,81.0,0.0,646.0,310.0,28.0,15.0,34,003,017200
34003017300,2010,424.0,292.0,65.0,21.0,623.0,222.0,75.0,25.0,34,003,017300
34003017400,2010,628.0,178.0,52.0,51.0,633.0,235.0,78.0,23.0,34,003,017400
34003017500,2010,745.0,322.0,43.0,21.0,819.0,494.0,72.0,0.0,34,003,017500
34003018100,2010,210.0,19.0,12.0,0.0,294.0,48.0,0.0,8.0,34,003,018100
34003018200,2010,341.0,127.0,64.0,0.0,370.0,182.0,44.0,10.0,34,003,018200
34003019102,2010,301.0,106.0,31.0,41.0,481.0,136.0,22.0,11.0,34,003,019102
34003019103,2010,449.0,306.0,66.0,47.0,523.0,179.0,50.0,9.0,34,003,019103
34003019104,2010,403.0,196.0,56.0,20.0,624.0,234.0,13.0,0.0,34,003,019104
34003019202,2010,165.0,13.0,24.0,0.0,109.0,111.0,64.0,0.0,34,003,019202
34003019203,2010,354.0,129.0,54.0,57.0,490.0,256.0,34.0,16.0,34,003,019203
34003019204,2010,402.0,107.0,85.0,23.0,374.0,162.0,31.0,24.0,34,003,019204
34003019303,2010,818.0,195.0,97.0,84.0,646.0,306.0,110.0,0.0,34,003,019303
34003019304,2010,132.0,159.0,12.0,10.0,237.0,32.0,0.0,31.0,34,003,019304
34003019305,2010,711.0,434.0,268.0,160.0,1256.0,458.0,125.0,81.0,34,003,019305
34003019306,2010,356.0,31.0,85.0,8.0,267.0,84.0,56.0,23.0,34,003,019306
34003020100,2010,406.0,179.0,74.0,21.0,563.0,121.0,69.0,8.0,34,003,020100
34003020200,2010,666.0,456.0,337.0,110.0,870.0,393.0,117.0,54.0,34,003,020200
34003021100,2010,254.0,58.0,0.0,0.0,180.0,115.0,53.0,14.0,34,003,021100
34003021200,2010,251.0,37.0,27.0,0.0,287.0,35.0,12.0,0.0,34,003,021200
34003021300,2010,310.0,39.0,9.0,11.0,248.0,95.0,44.0,0.0,34,003,021300
34003021400,2010,190.0,69.0,32.0,0.0,191.0,70.0,8.0,0.0,34,003,021400
34003021500,2010,155.0,45.0,0.0,0.0,239.0,68.0,0.0,0.0,34,003,021500
34003021600,2010,145.0,37.0,10.0,0.0,185.0,70.0,20.0,0.0,34,003,021600
34003022100,2010,500.0,186.0,150.0,43.0,428.0,384.0,58.0,45.0,34,003,022100
34003022200,2010,837.0,367.0,235.0,54.0,925.0,461.0,135.0,28.0,34,003,022200
34003023100,2010,113.0,102.0,13.0,0.0,171.0,75.0,18.0,0.0,34,003,023100
34003023200,2010,703.0,246.0,195.0,17.0,514.0,292.0,36.0,8.0,34,003,023200
34003023301,2010,255.0,115.0,11.0,42.0,331.0,103.0,41.0,0.0,34,003,023301
34003023302,2010,694.0,84.0,165.0,69.0,781.0,413.0,48.0,45.0,34,003,023302
34003023401,2010,498.0,201.0,37.0,31.0,415.0,213.0,77.0,21.0,34,003,023401
34003023402,2010,385.0,91.0,64.0,0.0,546.0,118.0,31.0,0.0,34,003,023402
34003023501,2010,150.0,22.0,58.0,0.0,179.0,57.0,103.0,0.0,34,003,023501
34003023502,2010,254.0,169.0,43.0,9.0,201.0,147.0,34.0,40.0,34,003,023502
34003023601,2010,155.0,71.0,0.0,0.0,86.0,36.0,0.0,0.0,34,003,023601
34003023602,2010,218.0,33.0,22.0,0.0,139.0,13.0,22.0,0.0,34,003,023602
34003024100,2010,627.0,291.0,136.0,0.0,522.0,446.0,43.0,12.0,34,003,024100
34003024200,2010,685.0,258.0,151.0,18.0,485.0,223.0,68.0,34.0,34,003,024200
34003025100,2010,481.0,176.0,68.0,36.0,493.0,278.0,45.0,0.0,34,003,025100
34003025200,2010,451.0,236.0,82.0,0.0,538.0,129.0,31.0,0.0,34,003,025200
34003026100,2010,473.0,267.0,27.0,0.0,495.0,235.0,12.0,0.0,34,003,026100
34003026200,2010,512.0,200.0,70.0,17.0,631.0,241.0,77.0,0.0,34,003,026200
34003027000,2010,541.0,346.0,76.0,39.0,602.0,278.0,43.0,0.0,34,003,027000
34003028001,2010,468.0,274.0,94.0,23.0,548.0,442.0,36.0,39.0,34,003,028001
34003028002,2010,432.0,255.0,71.0,67.0,567.0,257.0,47.0,24.0,34,003,028002
34003029100,2010,421.0,103.0,7.0,52.0,405.0,91.0,20.0,23.0,34,003,029100
34003029200,2010,356.0,170.0,38.0,0.0,394.0,111.0,51.0,0.0,34,003,029200
34003030100,2010,245.0,57.0,26.0,0.0,362.0,89.0,0.0,0.0,34,003,030100
