geoid,year,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,state,county,tract
34003001000,2009,770.0,472.0,101.0,78.0,771.0,393.0,32.0,11.0,34,003,001000
34003002100,2009,296.0,105.0,101.0,11.0,370.0,96.0,38.0,14.0,34,003,002100
34003002200,2009,360.0,217.0,45.0,12.0,391.0,129.0,3.0,5.0,34,003,002200
34003002300,2009,679.0,218.0,144.0,22.0,709.0,230.0,69.0,8.0,34,003,002300
34003003100,2009,537.0,87.0,19.0,21.0,467.0,165.0,30.0,0.0,34,003,003100
34003003200,2009,516.0,42.0,19.0,10.0,349.0,52.0,47.0,10.0,34,003,003200
34003003300,2009,542.0,160.0,44.0,28.0,531.0,191.0,76.0,28.0,34,003,003300
34003003401,2009,220.0,63.0,67.0,4.0,276.0,114.0,0.0,28.0,34,003,003401
34003003402,2009,253.0,60.0,104.0,48.0,334.0,138.0,56.0,13.0,34,003,003402
34003003500,2009,265.0,108.0,56.0,14.0,430.0,62.0,35.0,16.0,34,003,003500
34003004000,2009,856.0,138.0,29.0,30.0,609.0,273.0,41.0,11.0,34,003,004000
34003005000,2009,350.0,85.0,41.0,31.0,379.0,175.0,0.0,15.0,34,003,005000
34003006100,2009,467.0,158.0,122.0,17.0,673.0,180.0,108.0,12.0,34,003,006100
34003006200,2009,966.0,469.0,214.0,119.0,1163.0,351.0,152.0,66.0,34,003,006200
34003006300,2009,656.0,191.0,63.0,46.0,701.0,228.0,21.0,23.0,34,003,006300
34003007001,2009,389.0,138.0,47.0,80.0,522.0,134.0,37.0,12.0,34,003,007001
34003007002,2009,425.0,262.0,246.0,47.0,524.0,137.0,27.0,23.0,34,003,007002
34003008000,2009,934.0,378.0,209.0,72.0,1066.0,406.0,166.0,50.0,34,003,008000
34003009100,2009,553.0,162.0,190.0,127.0,528.0,388.0,113.0,5.0,34,003,009100
34003009200,2009,377.0,246.0,104.0,75.0,372.0,210.0,57.0,49.0,34,003,009200
34003010100,2009,543.0,82.0,0.0,0.0,597.0,96.0,31.0,16.0,34,003,010100
34003010200,2009,313.0,151.0,27.0,10.0,273.0,80.0,32.0,0.0,34,003,010200
34003010300,2009,722.0,191.0,92.0,5.0,576.0,190.0,75.0,35.0,34,003,010300
34003011100,2009,307.0,51.0,0.0,0.0,280.0,86.0,20.0,0.0,34,003,011100
34003011200,2009,213.0,124.0,21.0,0.0,236.0,116.0,11.0,11.0,34,003,011200
34003011300,2009,196.0,29.0,48.0,8.0,390.0,33.0,34.0,22.0,34,003,011300
34003011400,2009,298.0,108.0,59.0,13.0,341.0,68.0,0.0,0.0,34,003,011400
34003012000,2009,954.0,288.0,88.0,0.0,674.0,268.0,27.0,0.0,34,003,012000
34003013000,2009,1528.0,695.0,184.0,185.0,1417.0,642.0,180.0,19.0,34,003,013000
34003014000,2009,725.0,186.0,38.0,13.0,691.0,198.0,33.0,8.0,34,003,014000
34003015100,2009,228.0,133.0,228.0,5.0,395.0,211.0,49.0,0.0,34,003,015100
34003015200,2009,446.0,145.0,176.0,28.0,611.0,319.0,91.0,0.0,34,003,015200
34003015300,2009,371.0,58.0,18.0,0.0,349.0,247.0,115.0,0.0,34,003,015300
34003015400,2009,258.0,148.0,30.0,0.0,280.0,145.0,47.0,14.0,34,003,015400
34003015500,2009,680.0,272.0,444.0,18.0,763.0,299.0,186.0,67.0,34,003,015500
34003016000,2009,674.0,233.0,162.0,57.0,1036.0,504.0,118.0,10.0,34,003,016000
34003017100,2009,734.0,403.0,212.0,104.0,772.0,381.0,50.0,22.0,34,003,017100
34003017200,2009,500.0,143.0,92.0,0.0,564.0,308.0,36.0,0.0,34,003,017200
34003017300,2009,474.0,253.0,109.0,21.0,690.0,237.0,61.0,23.0,34,003,017300
34003017400,2009,581.0,193.0,42.0,52.0,612.0,186.0,38.0,23.0,34,003,017400
34003017500,2009,753.0,344.0,46.0,23.0,791.0,393.0,45.0,10.0,34,003,017500
34003018100,2009,192.0,22.0,12.0,0.0,341.0,52.0,0.0,18.0,34,003,018100
34003018200,2009,440.0,144.0,72.0,0.0,258.0,178.0,54.0,0.0,34,003,018200
34003019101,2009,980.0,564.0,91.0,101.0,1140.0,494.0,65.0,12.0,34,003,019101
34003019102,2009,357.0,78.0,34.0,43.0,512.0,201.0,22.0,9.0,34,003,019102
34003019201,2009,1030.0,251.0,112.0,90.0,964.0,348.0,26.0,36.0,34,003,019201
34003019202,2009,170.0,43.0,7.0,0.0,127.0,100.0,15.0,0.0,34,003,019202
34003019301,2009,1139.0,497.0,389.0,184.0,1360.0,687.0,208.0,89.0,34,003,019301
34003019302,2009,1091.0,341.0,172.0,116.0,786.0,427.0,146.0,39.0,34,003,019302
34003020100,2009,504.0,166.0,102.0,34.0,658.0,153.0,43.0,0.0,34,003,020100
34003020200,2009,686.0,424.0,396.0,106.0,890.0,300.0,230.0,36.0,34,003,020200
34003021100,2009,289.0,79.0,0.0,0.0,133.0,111.0,41.0,14.0,34,003,021100
34003021200,2009,193.0,41.0,75.0,7.0,226.0,42.0,26.0,0.0,34,003,021200
34003021300,2009,284.0,31.0,23.0,11.0,211.0,109.0,38.0,0.0,34,003,021300
34003021400,2009,180.0,55.0,32.0,0.0,169.0,82.0,0.0,0.0,34,003,021400
34003021500,2009,136.0,23.0,0.0,0.0,288.0,50.0,0.0,0.0,34,003,021500
34003021600,2009,153.0,32.0,10.0,0.0,223.0,54.0,39.0,0.0,34,003,021600
34003022100,2009,484.0,229.0,102.0,27.0,439.0,369.0,48.0,35.0,34,003,022100
