,geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
0,34003047200,2015,"Census Tract 472, Bergen County, New Jersey",4196.0,206786.0,897000.0,3341.0,147.0,0.0,392.0,0.0,0.0,111.0,205.0,34,003,047200
1,34003047300,2015,"Census Tract 473, Bergen County, New Jersey",3062.0,250001.0,1045200.0,2618.0,50.0,0.0,240.0,0.0,0.0,76.0,78.0,34,003,047300
2,34003047400,2015,"Census Tract 474, Bergen County, New Jersey",5117.0,114275.0,711800.0,3259.0,232.0,5.0,867.0,0.0,23.0,134.0,597.0,34,003,047400
3,34003047500,2015,"Census Tract 475, Bergen County, New Jersey",7122.0,147128.0,640900.0,5695.0,0.0,0.0,1009.0,0.0,0.0,75.0,343.0,34,003,047500
4,34003048100,2015,"Census Tract 481, Bergen County, New Jersey",4254.0,75296.0,441400.0,2187.0,115.0,4.0,1362.0,0.0,64.0,88.0,434.0,34,003,048100
5,34003048200,2015,"Census Tract 482, Bergen County, New Jersey",7312.0,135948.0,464000.0,5369.0,0.0,0.0,1116.0,0.0,87.0,11.0,729.0,34,003,048200
6,34003049001,2015,"Census Tract 490.01, Bergen County, New Jersey",4490.0,159201.0,671900.0,3791.0,0.0,0.0,257.0,0.0,117.0,23.0,302.0,34,003,049001
7,34003049002,2015,"Census Tract 490.02, Bergen County, New Jersey",5393.0,124468.0,546000.0,4420.0,155.0,19.0,487.0,0.0,39.0,94.0,179.0,34,003,049002
8,34003050000,2015,"Census Tract 500, Bergen County, New Jersey",5624.0,73512.0,352100.0,3746.0,33.0,6.0,714.0,0.0,0.0,12.0,1113.0,34,003,050000
9,34003051100,2015,"Census Tract 511, Bergen County, New Jersey",6292.0,74907.0,415400.0,3936.0,153.0,0.0,1372.0,0.0,0.0,92.0,739.0,34,003,051100
10,34003051200,2015,"Census Tract 512, Bergen County, New Jersey",2690.0,110833.0,451300.0,1854.0,20.0,7.0,167.0,0.0,0.0,38.0,611.0,34,003,051200
11,34003051300,2015,"Census Tract 513, Bergen County, New Jersey",4600.0,78707.0,431200.0,2744.0,140.0,3.0,857.0,0.0,0.0,99.0,757.0,34,003,051300
12,34003051400,2015,"Census Tract 514, Bergen County, New Jersey",4852.0,107644.0,417000.0,3321.0,33.0,0.0,531.0,0.0,45.0,100.0,822.0,34,003,051400
13,34003052100,2015,"Census Tract 521, Bergen County, New Jersey",7904.0,78156.0,366800.0,6231.0,43.0,0.0,490.0,0.0,0.0,56.0,1084.0,34,003,052100
14,34003052200,2015,"Census Tract 522, Bergen County, New Jersey",6050.0,84235.0,352500.0,4506.0,175.0,35.0,675.0,0.0,0.0,95.0,564.0,34,003,052200
15,34003053100,2015,"Census Tract 531, Bergen County, New Jersey",3229.0,121026.0,1437500.0,2549.0,82.0,0.0,290.0,0.0,0.0,16.0,292.0,34,003,053100
16,34003053200,2015,"Census Tract 532, Bergen County, New Jersey",8335.0,169301.0,882400.0,6367.0,259.0,0.0,1171.0,0.0,0.0,18.0,520.0,34,003,053200
17,34003054100,2015,"Census Tract 541, Bergen County, New Jersey",8776.0,96684.0,374000.0,1274.0,5787.0,0.0,402.0,0.0,19.0,38.0,1256.0,34,003,054100
18,34003054200,2015,"Census Tract 542, Bergen County, New Jersey",4182.0,56729.0,319100.0,1202.0,1597.0,0.0,334.0,0.0,98.0,45.0,906.0,34,003,054200
19,34003054300,2015,"Census Tract 543, Bergen County, New Jersey",6409.0,195833.0,621800.0,5785.0,322.0,0.0,118.0,0.0,0.0,44.0,140.0,34,003,054300
20,34003054400,2015,"Census Tract 544, Bergen County, New Jersey",7845.0,92785.0,373500.0,3093.0,1562.0,0.0,584.0,11.0,63.0,237.0,2295.0,34,003,054400
21,34003054500,2015,"Census Tract 545, Bergen County, New Jersey",4641.0,116685.0,401000.0,2518.0,556.0,0.0,365.0,0.0,54.0,62.0,1086.0,34,003,054500
22,34003054600,2015,"Census Tract 546, Bergen County, New Jersey",8716.0,89632.0,365200.0,2966.0,1251.0,34.0,1768.0,0.0,115.0,105.0,2477.0,34,003,054600
23,34003055100,2015,"Census Tract 551, Bergen County, New Jersey",6764.0,170132.0,956300.0,4795.0,6.0,0.0,1278.0,0.0,0.0,195.0,490.0,34,003,055100
24,34003055200,2015,"Census Tract 552, Bergen County, New Jersey",8024.0,126000.0,614200.0,4171.0,85.0,53.0,2522.0,0.0,114.0,137.0,942.0,34,003,055200
25,34003056100,2015,"Census Tract 561, Bergen County, New Jersey",4688.0,104661.0,417800.0,4108.0,51.0,0.0,242.0,0.0,0.0,46.0,241.0,34,003,056100
26,34003056200,2015,"Census Tract 562, Bergen County, New Jersey",5214.0,116188.0,432100.0,4277.0,103.0,0.0,381.0,0.0,0.0,26.0,427.0,34,003,056200
27,34003057101,2015,"Census Tract 571.01, Bergen County, New Jersey",4365.0,51551.0,361700.0,2974.0,310.0,0.0,480.0,0.0,0.0,92.0,509.0,34,003,057101
28,34003057102,2015,"Census Tract 571.02, Bergen County, New Jersey",3877.0,65479.0,408400.0,3108.0,1.0,7.0,300.0,0.0,7.0,67.0,387.0,34,003,057102
29,34003057200,2015,"Census Tract 572, Bergen County, New Jersey",3342.0,50996.0,314000.0,2720.0,32.0,0.0,17.0,0.0,0.0,20.0,553.0,34,003,057200
30,34003058100,2015,"Census Tract 581, Bergen County, New Jersey",3857.0,106333.0,542300.0,3532.0,43.0,0.0,110.0,0.0,0.0,5.0,167.0,34,003,058100
31,34003058200,2015,"Census Tract 582, Bergen County, New Jersey",5414.0,127647.0,483800.0,4654.0,6.0,0.0,285.0,0.0,14.0,43.0,412.0,34,003,058200
32,34003059100,2015,"Census Tract 591, Bergen County, New Jersey",5233.0,80798.0,410700.0,3475.0,417.0,0.0,256.0,0.0,0.0,50.0,1035.0,34,003,059100
33,34003059200,2015,"Census Tract 592, Bergen County, New Jersey",5907.0,92585.0,430700.0,4480.0,320.0,0.0,331.0,0.0,23.0,75.0,678.0,34,003,059200
34,34003060000,2015,"Census Tract 600, Bergen County, New Jersey",7992.0,96824.0,376300.0,6158.0,104.0,0.0,718.0,0.0,0.0,223.0,789.0,34,003,060000
35,34003061100,2015,"Census Tract 611, Bergen County, New Jersey",4566.0,132159.0,640500.0,3953.0,10.0,0.0,304.0,0.0,0.0,1.0,298.0,34,003,061100
36,34003061200,2015,"Census Tract 612, Bergen County, New Jersey",3570.0,118967.0,791100.0,3372.0,0.0,0.0,52.0,0.0,0.0,45.0,101.0,34,003,061200
37,34003061300,2015,"Census Tract 613, Bergen County, New Jersey",3689.0,143906.0,797300.0,3352.0,21.0,0.0,99.0,0.0,0.0,42.0,175.0,34,003,061300
38,34003061400,2015,"Census Tract 614, Bergen County, New Jersey",5220.0,130903.0,666100.0,4566.0,0.0,0.0,295.0,0.0,0.0,117.0,242.0,34,003,061400
39,34003001000,2015,"Census Tract 10, Bergen County, New Jersey",6717.0,140331.0,690800.0,5329.0,87.0,0.0,836.0,0.0,0.0,122.0,343.0,34,003,001000
40,34003002100,2015,"Census Tract 21, Bergen County, New Jersey",1559.0,111146.0,2000001.0,895.0,115.0,0.0,441.0,0.0,0.0,17.0,91.0,34,003,002100
41,34003002200,2015,"Census Tract 22, Bergen County, New Jersey",5339.0,87422.0,464700.0,3496.0,81.0,4.0,1279.0,0.0,45.0,23.0,411.0,34,003,002200
42,34003002300,2015,"Census Tract 23, Bergen County, New Jersey",5823.0,92203.0,576300.0,3628.0,88.0,39.0,1572.0,0.0,0.0,25.0,471.0,34,003,002300
43,34003003100,2015,"Census Tract 31, Bergen County, New Jersey",4866.0,76917.0,308200.0,1859.0,403.0,0.0,1285.0,0.0,12.0,21.0,1286.0,34,003,003100
44,34003003200,2015,"Census Tract 32, Bergen County, New Jersey",4860.0,64010.0,314200.0,1228.0,257.0,17.0,1630.0,0.0,5.0,52.0,1688.0,34,003,003200
45,34003003300,2015,"Census Tract 33, Bergen County, New Jersey",6454.0,94500.0,333200.0,2100.0,432.0,0.0,1826.0,0.0,66.0,149.0,1881.0,34,003,003300
46,34003003401,2015,"Census Tract 34.01, Bergen County, New Jersey",3051.0,116293.0,383300.0,1749.0,113.0,0.0,501.0,0.0,38.0,34.0,616.0,34,003,003401
47,34003003402,2015,"Census Tract 34.02, Bergen County, New Jersey",3962.0,102790.0,365900.0,1909.0,75.0,0.0,869.0,0.0,22.0,126.0,961.0,34,003,003402
48,34003003500,2015,"Census Tract 35, Bergen County, New Jersey",4146.0,48363.0,343600.0,934.0,463.0,12.0,1124.0,0.0,0.0,66.0,1559.0,34,003,003500
49,34003004001,2015,"Census Tract 40.01, Bergen County, New Jersey",3334.0,77588.0,328700.0,1594.0,114.0,0.0,151.0,0.0,50.0,126.0,1299.0,34,003,004001
50,34003004002,2015,"Census Tract 40.02, Bergen County, New Jersey",4995.0,76353.0,310300.0,1774.0,280.0,0.0,645.0,0.0,16.0,56.0,2224.0,34,003,004002
51,34003005000,2015,"Census Tract 50, Bergen County, New Jersey",6225.0,70056.0,389800.0,3872.0,20.0,9.0,487.0,0.0,13.0,104.0,1720.0,34,003,005000
52,34003006100,2015,"Census Tract 61, Bergen County, New Jersey",7424.0,68696.0,426700.0,4273.0,145.0,0.0,732.0,0.0,56.0,105.0,2113.0,34,003,006100
53,34003006201,2015,"Census Tract 62.01, Bergen County, New Jersey",4652.0,48872.0,413500.0,2357.0,62.0,0.0,554.0,0.0,75.0,32.0,1572.0,34,003,006201
54,34003006202,2015,"Census Tract 62.02, Bergen County, New Jersey",4686.0,77880.0,388200.0,2714.0,253.0,0.0,1209.0,16.0,18.0,166.0,310.0,34,003,006202
55,34003006300,2015,"Census Tract 63, Bergen County, New Jersey",7731.0,53762.0,381800.0,3523.0,159.0,0.0,637.0,0.0,22.0,143.0,3247.0,34,003,006300
56,34003007001,2015,"Census Tract 70.01, Bergen County, New Jersey",3879.0,98523.0,508500.0,2167.0,80.0,5.0,1285.0,0.0,0.0,0.0,342.0,34,003,007001
57,34003007002,2015,"Census Tract 70.02, Bergen County, New Jersey",4703.0,137096.0,769100.0,2668.0,83.0,0.0,1842.0,0.0,12.0,29.0,69.0,34,003,007002
58,34003008000,2015,"Census Tract 80, Bergen County, New Jersey",8729.0,110156.0,557300.0,5314.0,38.0,23.0,2384.0,0.0,0.0,97.0,896.0,34,003,008000
59,34003009100,2015,"Census Tract 91, Bergen County, New Jersey",5004.0,163571.0,675600.0,3207.0,11.0,0.0,1405.0,0.0,0.0,25.0,356.0,34,003,009100
60,34003009200,2015,"Census Tract 92, Bergen County, New Jersey",3451.0,160526.0,644900.0,2757.0,34.0,6.0,547.0,0.0,10.0,39.0,64.0,34,003,009200
61,34003010100,2015,"Census Tract 101, Bergen County, New Jersey",6053.0,91852.0,366900.0,4098.0,86.0,0.0,1040.0,0.0,0.0,15.0,814.0,34,003,010100
62,34003010200,2015,"Census Tract 102, Bergen County, New Jersey",4350.0,72007.0,345700.0,2580.0,201.0,35.0,589.0,0.0,0.0,101.0,868.0,34,003,010200
63,34003010300,2015,"Census Tract 103, Bergen County, New Jersey",7417.0,105694.0,358400.0,4452.0,341.0,0.0,1088.0,0.0,0.0,64.0,1472.0,34,003,010300
64,34003011100,2015,"Census Tract 111, Bergen County, New Jersey",4193.0,66273.0,336800.0,1836.0,213.0,10.0,598.0,0.0,48.0,176.0,1322.0,34,003,011100
65,34003011200,2015,"Census Tract 112, Bergen County, New Jersey",5109.0,69970.0,347600.0,2450.0,369.0,0.0,506.0,0.0,0.0,150.0,1634.0,34,003,011200
66,34003011300,2015,"Census Tract 113, Bergen County, New Jersey",4491.0,86682.0,359800.0,2709.0,104.0,44.0,382.0,0.0,0.0,193.0,1059.0,34,003,011300
67,34003011400,2015,"Census Tract 114, Bergen County, New Jersey",6166.0,72083.0,406000.0,3769.0,341.0,6.0,409.0,24.0,0.0,0.0,1623.0,34,003,011400
68,34003012001,2015,"Census Tract 120.01, Bergen County, New Jersey",5886.0,78993.0,435400.0,2826.0,335.0,0.0,1027.0,0.0,0.0,61.0,1637.0,34,003,012001
69,34003012002,2015,"Census Tract 120.02, Bergen County, New Jersey",3190.0,78357.0,363400.0,2121.0,29.0,0.0,559.0,0.0,0.0,126.0,355.0,34,003,012002
70,34003013001,2015,"Census Tract 130.01, Bergen County, New Jersey",6529.0,103214.0,581000.0,2226.0,386.0,0.0,3063.0,22.0,25.0,158.0,649.0,34,003,013001
71,34003013002,2015,"Census Tract 130.02, Bergen County, New Jersey",5406.0,100573.0,497300.0,2915.0,375.0,70.0,1038.0,0.0,0.0,124.0,943.0,34,003,013002
72,34003014000,2015,"Census Tract 140, Bergen County, New Jersey",7616.0,102500.0,462000.0,5801.0,156.0,0.0,434.0,0.0,29.0,257.0,939.0,34,003,014000
73,34003015100,2015,"Census Tract 151, Bergen County, New Jersey",2547.0,145694.0,912100.0,2002.0,141.0,9.0,195.0,0.0,40.0,0.0,160.0,34,003,015100
74,34003015200,2015,"Census Tract 152, Bergen County, New Jersey",5938.0,71595.0,350400.0,1522.0,1898.0,7.0,621.0,0.0,14.0,203.0,1673.0,34,003,015200
75,34003015300,2015,"Census Tract 153, Bergen County, New Jersey",6604.0,68454.0,287800.0,215.0,4334.0,28.0,115.0,36.0,43.0,113.0,1720.0,34,003,015300
76,34003015400,2015,"Census Tract 154, Bergen County, New Jersey",7025.0,61807.0,331300.0,1911.0,1182.0,37.0,1846.0,0.0,31.0,80.0,1938.0,34,003,015400
77,34003015500,2015,"Census Tract 155, Bergen County, New Jersey",5878.0,112070.0,574500.0,3694.0,845.0,42.0,696.0,0.0,0.0,51.0,550.0,34,003,015500
78,34003016000,2015,"Census Tract 160, Bergen County, New Jersey",5369.0,140605.0,994300.0,2722.0,86.0,7.0,2249.0,0.0,16.0,62.0,227.0,34,003,016000
79,34003017100,2015,"Census Tract 171, Bergen County, New Jersey",7016.0,121815.0,447900.0,5609.0,1.0,0.0,722.0,0.0,36.0,29.0,619.0,34,003,017100
80,34003017200,2015,"Census Tract 172, Bergen County, New Jersey",6003.0,80913.0,357600.0,4120.0,170.0,19.0,622.0,0.0,0.0,82.0,1003.0,34,003,017200
81,34003017300,2015,"Census Tract 173, Bergen County, New Jersey",6499.0,112869.0,382400.0,4503.0,62.0,46.0,638.0,0.0,89.0,9.0,1152.0,34,003,017300
82,34003017400,2015,"Census Tract 174, Bergen County, New Jersey",5598.0,111336.0,405600.0,4107.0,43.0,0.0,932.0,0.0,0.0,71.0,445.0,34,003,017400
83,34003017500,2015,"Census Tract 175, Bergen County, New Jersey",8048.0,82163.0,367800.0,4788.0,53.0,0.0,1566.0,0.0,0.0,27.0,1614.0,34,003,017500
84,34003018100,2015,"Census Tract 181, Bergen County, New Jersey",6821.0,39414.0,368100.0,2429.0,23.0,0.0,155.0,0.0,20.0,33.0,4161.0,34,003,018100
85,34003018200,2015,"Census Tract 182, Bergen County, New Jersey",7412.0,66686.0,346300.0,2458.0,259.0,0.0,624.0,0.0,174.0,321.0,3576.0,34,003,018200
86,34003019102,2015,"Census Tract 191.02, Bergen County, New Jersey",3333.0,82500.0,260800.0,1734.0,40.0,27.0,1339.0,0.0,0.0,23.0,170.0,34,003,019102
87,34003019103,2015,"Census Tract 191.03, Bergen County, New Jersey",3996.0,60246.0,122500.0,1437.0,161.0,38.0,1749.0,0.0,5.0,150.0,456.0,34,003,019103
88,34003019104,2015,"Census Tract 191.04, Bergen County, New Jersey",4087.0,68242.0,272800.0,1239.0,60.0,0.0,2028.0,0.0,0.0,167.0,593.0,34,003,019104
89,34003019202,2015,"Census Tract 192.02, Bergen County, New Jersey",1629.0,60221.0,374000.0,498.0,4.0,4.0,662.0,4.0,23.0,42.0,392.0,34,003,019202
90,34003019203,2015,"Census Tract 192.03, Bergen County, New Jersey",3153.0,56553.0,174900.0,1969.0,0.0,0.0,892.0,0.0,0.0,34.0,258.0,34,003,019203
91,34003019204,2015,"Census Tract 192.04, Bergen County, New Jersey",3474.0,47111.0,205900.0,1243.0,110.0,12.0,1379.0,0.0,0.0,98.0,632.0,34,003,019204
92,34003019303,2015,"Census Tract 193.03, Bergen County, New Jersey",5406.0,59315.0,454700.0,1522.0,40.0,0.0,2999.0,0.0,0.0,56.0,789.0,34,003,019303
93,34003019304,2015,"Census Tract 193.04, Bergen County, New Jersey",2759.0,72284.0,568000.0,1160.0,4.0,0.0,765.0,0.0,5.0,10.0,815.0,34,003,019304
94,34003019305,2015,"Census Tract 193.05, Bergen County, New Jersey",6313.0,99833.0,418600.0,3528.0,17.0,0.0,2188.0,10.0,0.0,0.0,570.0,34,003,019305
95,34003019306,2015,"Census Tract 193.06, Bergen County, New Jersey",2101.0,111000.0,708600.0,1332.0,45.0,2.0,576.0,0.0,0.0,0.0,146.0,34,003,019306
96,34003020100,2015,"Census Tract 201, Bergen County, New Jersey",4118.0,138882.0,782100.0,3287.0,104.0,9.0,250.0,0.0,26.0,179.0,263.0,34,003,020100
97,34003020200,2015,"Census Tract 202, Bergen County, New Jersey",6681.0,178542.0,1037800.0,5574.0,12.0,0.0,606.0,0.0,0.0,57.0,432.0,34,003,020200
98,34003021100,2015,"Census Tract 211, Bergen County, New Jersey",6713.0,47110.0,352900.0,4813.0,153.0,0.0,179.0,11.0,14.0,52.0,1491.0,34,003,021100
99,34003021200,2015,"Census Tract 212, Bergen County, New Jersey",5779.0,51701.0,331500.0,3606.0,255.0,0.0,104.0,0.0,0.0,45.0,1769.0,34,003,021200
