geoid,year,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,state,county,tract
34003001000,2012,878.0,379.0,45.0,55.0,811.0,295.0,19.0,13.0,34,003,001000
34003002100,2012,264.0,100.0,103.0,16.0,320.0,111.0,67.0,12.0,34,003,002100
34003002200,2012,477.0,138.0,50.0,12.0,453.0,202.0,16.0,25.0,34,003,002200
34003002300,2012,606.0,237.0,79.0,20.0,737.0,211.0,38.0,18.0,34,003,002300
34003003100,2012,406.0,103.0,18.0,7.0,534.0,187.0,14.0,0.0,34,003,003100
34003003200,2012,541.0,142.0,0.0,25.0,516.0,126.0,0.0,16.0,34,003,003200
34003003300,2012,520.0,123.0,46.0,38.0,617.0,200.0,61.0,0.0,34,003,003300
34003003401,2012,265.0,96.0,56.0,11.0,327.0,158.0,29.0,28.0,34,003,003401
34003003402,2012,379.0,94.0,87.0,22.0,367.0,97.0,28.0,14.0,34,003,003402
34003003500,2012,273.0,57.0,29.0,0.0,457.0,100.0,13.0,11.0,34,003,003500
34003004001,2012,197.0,59.0,29.0,0.0,312.0,71.0,32.0,0.0,34,003,004001
34003004002,2012,281.0,221.0,15.0,14.0,231.0,193.0,56.0,12.0,34,003,004002
34003005000,2012,585.0,146.0,55.0,60.0,422.0,149.0,13.0,0.0,34,003,005000
34003006100,2012,537.0,98.0,75.0,61.0,568.0,214.0,115.0,32.0,34,003,006100
34003006201,2012,263.0,140.0,28.0,0.0,423.0,168.0,0.0,0.0,34,003,006201
34003006202,2012,562.0,172.0,152.0,58.0,712.0,235.0,55.0,77.0,34,003,006202
34003006300,2012,647.0,242.0,67.0,14.0,896.0,266.0,99.0,74.0,34,003,006300
34003007001,2012,416.0,184.0,87.0,46.0,497.0,148.0,81.0,0.0,34,003,007001
34003007002,2012,482.0,276.0,126.0,39.0,672.0,134.0,66.0,32.0,34,003,007002
34003008000,2012,868.0,330.0,265.0,105.0,1153.0,432.0,161.0,11.0,34,003,008000
34003009100,2012,689.0,208.0,181.0,44.0,520.0,404.0,133.0,41.0,34,003,009100
34003009200,2012,423.0,216.0,130.0,51.0,507.0,196.0,62.0,16.0,34,003,009200
34003010100,2012,565.0,196.0,41.0,0.0,632.0,151.0,60.0,0.0,34,003,010100
34003010200,2012,493.0,88.0,5.0,5.0,310.0,93.0,25.0,0.0,34,003,010200
