,geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
0,34003001000,2013,"Census Tract 10, Bergen County, New Jersey",6595.0,131441.0,679900.0,5402.0,67.0,0.0,779.0,0.0,0.0,8.0,339.0,34,003,001000
1,34003002100,2013,"Census Tract 21, Bergen County, New Jersey",1861.0,144063.0,1000001.0,1164.0,48.0,4.0,474.0,0.0,0.0,24.0,147.0,34,003,002100
2,34003002200,2013,"Census Tract 22, Bergen County, New Jersey",5176.0,85306.0,483600.0,3484.0,55.0,0.0,1137.0,0.0,60.0,25.0,415.0,34,003,002200
3,34003002300,2013,"Census Tract 23, Bergen County, New Jersey",5756.0,92357.0,652300.0,3438.0,126.0,0.0,1794.0,0.0,0.0,22.0,376.0,34,003,002300
4,34003003100,2013,"Census Tract 31, Bergen County, New Jersey",5051.0,84202.0,330800.0,2020.0,451.0,0.0,1242.0,0.0,0.0,20.0,1318.0,34,003,003100
5,34003003200,2013,"Census Tract 32, Bergen County, New Jersey",4524.0,62250.0,320500.0,1511.0,83.0,0.0,1386.0,0.0,0.0,98.0,1446.0,34,003,003200
6,34003003300,2013,"Census Tract 33, Bergen County, New Jersey",6245.0,90338.0,345700.0,2288.0,449.0,0.0,1497.0,0.0,61.0,233.0,1717.0,34,003,003300
7,34003003401,2013,"Census Tract 34.01, Bergen County, New Jersey",3079.0,111569.0,385500.0,1969.0,51.0,0.0,413.0,0.0,32.0,43.0,571.0,34,003,003401
8,34003003402,2013,"Census Tract 34.02, Bergen County, New Jersey",3847.0,100544.0,373500.0,2184.0,37.0,0.0,764.0,0.0,10.0,110.0,742.0,34,003,003402
9,34003003500,2013,"Census Tract 35, Bergen County, New Jersey",4187.0,44709.0,347900.0,1372.0,287.0,8.0,910.0,0.0,0.0,76.0,1542.0,34,003,003500
10,34003004001,2013,"Census Tract 40.01, Bergen County, New Jersey",3271.0,84032.0,340000.0,1410.0,179.0,0.0,174.0,0.0,83.0,121.0,1304.0,34,003,004001
11,34003004002,2013,"Census Tract 40.02, Bergen County, New Jersey",4960.0,75794.0,337000.0,2152.0,166.0,0.0,874.0,0.0,32.0,14.0,1722.0,34,003,004002
12,34003005000,2013,"Census Tract 50, Bergen County, New Jersey",6155.0,64954.0,392900.0,4217.0,27.0,18.0,702.0,0.0,62.0,58.0,1071.0,34,003,005000
13,34003006100,2013,"Census Tract 61, Bergen County, New Jersey",6455.0,62193.0,394300.0,3487.0,135.0,0.0,710.0,0.0,0.0,17.0,2106.0,34,003,006100
14,34003006201,2013,"Census Tract 62.01, Bergen County, New Jersey",4892.0,54818.0,473400.0,2795.0,43.0,0.0,638.0,0.0,7.0,32.0,1377.0,34,003,006201
15,34003006202,2013,"Census Tract 62.02, Bergen County, New Jersey",4779.0,82371.0,385400.0,2893.0,310.0,0.0,844.0,48.0,0.0,144.0,540.0,34,003,006202
16,34003006300,2013,"Census Tract 63, Bergen County, New Jersey",7984.0,53239.0,369800.0,3940.0,40.0,0.0,676.0,0.0,0.0,85.0,3243.0,34,003,006300
17,34003007001,2013,"Census Tract 70.01, Bergen County, New Jersey",4001.0,113241.0,567100.0,2465.0,38.0,14.0,1123.0,0.0,0.0,0.0,361.0,34,003,007001
18,34003007002,2013,"Census Tract 70.02, Bergen County, New Jersey",4448.0,122917.0,807000.0,2714.0,10.0,0.0,1561.0,0.0,0.0,38.0,125.0,34,003,007002
19,34003008000,2013,"Census Tract 80, Bergen County, New Jersey",8605.0,99806.0,506600.0,5729.0,20.0,24.0,1853.0,0.0,0.0,59.0,944.0,34,003,008000
20,34003009100,2013,"Census Tract 91, Bergen County, New Jersey",4904.0,138631.0,693700.0,3322.0,12.0,0.0,1255.0,0.0,16.0,71.0,228.0,34,003,009100
21,34003009200,2013,"Census Tract 92, Bergen County, New Jersey",3406.0,135781.0,676000.0,2824.0,48.0,8.0,401.0,0.0,9.0,70.0,54.0,34,003,009200
22,34003010100,2013,"Census Tract 101, Bergen County, New Jersey",6079.0,88580.0,380100.0,4011.0,63.0,0.0,1222.0,0.0,0.0,83.0,700.0,34,003,010100
23,34003010200,2013,"Census Tract 102, Bergen County, New Jersey",4226.0,62500.0,357300.0,2449.0,29.0,42.0,853.0,0.0,0.0,47.0,841.0,34,003,010200
24,34003010300,2013,"Census Tract 103, Bergen County, New Jersey",7295.0,100673.0,378500.0,4925.0,102.0,0.0,872.0,0.0,20.0,29.0,1347.0,34,003,010300
25,34003011100,2013,"Census Tract 111, Bergen County, New Jersey",4165.0,58571.0,354400.0,2125.0,298.0,9.0,336.0,0.0,35.0,142.0,1229.0,34,003,011100
26,34003011200,2013,"Census Tract 112, Bergen County, New Jersey",4777.0,62125.0,359700.0,3070.0,195.0,0.0,478.0,0.0,0.0,66.0,968.0,34,003,011200
27,34003011300,2013,"Census Tract 113, Bergen County, New Jersey",4729.0,85174.0,372500.0,3128.0,95.0,0.0,361.0,0.0,0.0,64.0,1081.0,34,003,011300
