geoid,year,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,state,county,tract
34003001000,2013,862.0,423.0,100.0,51.0,876.0,292.0,60.0,13.0,34,003,001000
34003002100,2013,246.0,121.0,129.0,13.0,283.0,108.0,80.0,3.0,34,003,002100
34003002200,2013,516.0,107.0,15.0,12.0,401.0,203.0,15.0,24.0,34,003,002200
34003002300,2013,571.0,244.0,98.0,24.0,821.0,153.0,46.0,24.0,34,003,002300
34003003100,2013,448.0,91.0,28.0,6.0,582.0,171.0,15.0,8.0,34,003,003100
34003003200,2013,413.0,121.0,0.0,25.0,585.0,126.0,7.0,6.0,34,003,003200
34003003300,2013,511.0,131.0,14.0,38.0,715.0,236.0,0.0,0.0,34,003,003300
34003003401,2013,321.0,97.0,49.0,9.0,285.0,149.0,38.0,25.0,34,003,003401
34003003402,2013,425.0,130.0,46.0,22.0,396.0,133.0,15.0,13.0,34,003,003402
34003003500,2013,328.0,52.0,15.0,0.0,495.0,76.0,14.0,12.0,34,003,003500
34003004001,2013,260.0,73.0,8.0,0.0,228.0,87.0,36.0,0.0,34,003,004001
34003004002,2013,291.0,184.0,31.0,26.0,243.0,145.0,42.0,18.0,34,003,004002
34003005000,2013,463.0,203.0,45.0,67.0,368.0,133.0,14.0,0.0,34,003,005000
34003006100,2013,484.0,171.0,53.0,58.0,687.0,246.0,94.0,32.0,34,003,006100
34003006201,2013,245.0,178.0,32.0,0.0,471.0,180.0,0.0,21.0,34,003,006201
34003006202,2013,543.0,186.0,172.0,110.0,724.0,345.0,94.0,93.0,34,003,006202
34003006300,2013,539.0,205.0,83.0,0.0,847.0,336.0,123.0,47.0,34,003,006300
34003007001,2013,409.0,218.0,94.0,36.0,540.0,155.0,62.0,4.0,34,003,007001
34003007002,2013,505.0,230.0,81.0,51.0,652.0,192.0,86.0,39.0,34,003,007002
34003008000,2013,1034.0,330.0,244.0,91.0,1225.0,454.0,190.0,15.0,34,003,008000
34003009100,2013,621.0,332.0,179.0,38.0,512.0,444.0,114.0,47.0,34,003,009100
34003009200,2013,410.0,227.0,88.0,51.0,557.0,173.0,78.0,10.0,34,003,009200
34003010100,2013,607.0,183.0,33.0,0.0,683.0,117.0,112.0,56.0,34,003,010100
34003010200,2013,459.0,78.0,13.0,22.0,298.0,51.0,71.0,0.0,34,003,010200
34003010300,2013,628.0,263.0,32.0,14.0,626.0,332.0,34.0,32.0,34,003,010300
34003011100,2013,299.0,58.0,22.0,0.0,220.0,63.0,48.0,0.0,34,003,011100
34003011200,2013,215.0,90.0,41.0,11.0,310.0,128.0,9.0,8.0,34,003,011200
34003011300,2013,187.0,120.0,78.0,36.0,486.0,111.0,12.0,0.0,34,003,011300
34003011400,2013,250.0,135.0,34.0,29.0,355.0,114.0,0.0,0.0,34,003,011400
34003012001,2013,601.0,213.0,41.0,32.0,602.0,323.0,54.0,0.0,34,003,012001
34003012002,2013,338.0,114.0,32.0,1.0,277.0,118.0,22.0,42.0,34,003,012002
34003013001,2013,788.0,431.0,331.0,280.0,1381.0,281.0,152.0,63.0,34,003,013001
34003013002,2013,1008.0,216.0,147.0,95.0,957.0,452.0,118.0,51.0,34,003,013002
34003014000,2013,895.0,232.0,35.0,53.0,878.0,334.0,30.0,16.0,34,003,014000
34003015100,2013,193.0,108.0,225.0,32.0,271.0,200.0,143.0,17.0,34,003,015100
34003015200,2013,571.0,102.0,42.0,34.0,711.0,173.0,73.0,43.0,34,003,015200
34003015300,2013,251.0,63.0,0.0,30.0,423.0,279.0,17.0,0.0,34,003,015300
34003015400,2013,538.0,131.0,103.0,68.0,817.0,179.0,33.0,14.0,34,003,015400
34003015500,2013,766.0,332.0,264.0,53.0,742.0,450.0,119.0,94.0,34,003,015500
34003016000,2013,613.0,266.0,170.0,87.0,824.0,245.0,117.0,29.0,34,003,016000
34003017100,2013,958.0,560.0,129.0,143.0,1069.0,605.0,120.0,0.0,34,003,017100
34003017200,2013,627.0,294.0,0.0,58.0,464.0,404.0,81.0,33.0,34,003,017200
34003017300,2013,454.0,202.0,124.0,50.0,678.0,236.0,29.0,32.0,34,003,017300
34003017400,2013,579.0,277.0,49.0,38.0,604.0,358.0,105.0,46.0,34,003,017400
34003017500,2013,764.0,286.0,70.0,23.0,716.0,548.0,69.0,0.0,34,003,017500
34003018100,2013,417.0,97.0,2.0,0.0,361.0,39.0,37.0,0.0,34,003,018100
34003018200,2013,548.0,148.0,36.0,0.0,322.0,140.0,39.0,18.0,34,003,018200
34003019102,2013,268.0,186.0,45.0,43.0,367.0,155.0,78.0,8.0,34,003,019102
34003019103,2013,499.0,289.0,56.0,75.0,652.0,139.0,47.0,44.0,34,003,019103
34003019104,2013,321.0,164.0,136.0,23.0,514.0,283.0,23.0,24.0,34,003,019104
34003019202,2013,206.0,43.0,6.0,12.0,164.0,64.0,40.0,7.0,34,003,019202
34003019203,2013,354.0,196.0,65.0,68.0,334.0,400.0,39.0,43.0,34,003,019203
34003019204,2013,467.0,72.0,85.0,34.0,461.0,247.0,34.0,16.0,34,003,019204
34003019303,2013,705.0,300.0,44.0,77.0,893.0,202.0,94.0,52.0,34,003,019303
34003019304,2013,216.0,117.0,10.0,17.0,324.0,85.0,0.0,12.0,34,003,019304
34003019305,2013,855.0,653.0,210.0,79.0,1185.0,311.0,86.0,53.0,34,003,019305
34003019306,2013,335.0,118.0,76.0,0.0,338.0,235.0,81.0,6.0,34,003,019306
34003020100,2013,542.0,203.0,103.0,23.0,590.0,174.0,100.0,5.0,34,003,020100
34003020200,2013,781.0,437.0,348.0,77.0,814.0,388.0,136.0,59.0,34,003,020200
34003021100,2013,402.0,37.0,0.0,0.0,229.0,83.0,12.0,0.0,34,003,021100
34003021200,2013,320.0,46.0,8.0,2.0,339.0,75.0,10.0,0.0,34,003,021200
34003021300,2013,261.0,44.0,9.0,0.0,251.0,21.0,9.0,0.0,34,003,021300
34003021400,2013,240.0,63.0,23.0,0.0,290.0,30.0,17.0,9.0,34,003,021400
34003021500,2013,214.0,33.0,12.0,2.0,259.0,83.0,9.0,0.0,34,003,021500
34003021600,2013,138.0,43.0,0.0,0.0,153.0,40.0,24.0,0.0,34,003,021600
34003022100,2013,533.0,209.0,115.0,52.0,398.0,400.0,61.0,8.0,34,003,022100
34003022200,2013,847.0,468.0,152.0,51.0,926.0,468.0,153.0,51.0,34,003,022200
34003023100,2013,143.0,29.0,0.0,17.0,215.0,12.0,10.0,0.0,34,003,023100
34003023200,2013,466.0,336.0,33.0,26.0,596.0,223.0,16.0,69.0,34,003,023200
34003023301,2013,239.0,57.0,20.0,0.0,272.0,115.0,13.0,0.0,34,003,023301
34003023302,2013,697.0,159.0,67.0,63.0,833.0,324.0,73.0,0.0,34,003,023302
34003023401,2013,452.0,209.0,106.0,54.0,434.0,308.0,54.0,48.0,34,003,023401
34003023402,2013,310.0,55.0,10.0,98.0,335.0,170.0,0.0,0.0,34,003,023402
34003023501,2013,153.0,45.0,51.0,0.0,191.0,85.0,26.0,0.0,34,003,023501
34003023502,2013,191.0,150.0,45.0,11.0,336.0,197.0,22.0,55.0,34,003,023502
34003023601,2013,213.0,21.0,8.0,0.0,123.0,0.0,0.0,0.0,34,003,023601
34003023602,2013,205.0,73.0,10.0,0.0,185.0,74.0,18.0,9.0,34,003,023602
34003024100,2013,602.0,316.0,130.0,10.0,607.0,424.0,29.0,21.0,34,003,024100
34003024200,2013,614.0,255.0,131.0,33.0,478.0,310.0,28.0,29.0,34,003,024200
34003025100,2013,518.0,161.0,19.0,0.0,497.0,437.0,0.0,21.0,34,003,025100
34003025200,2013,589.0,111.0,107.0,11.0,651.0,247.0,13.0,39.0,34,003,025200
34003026100,2013,486.0,174.0,50.0,11.0,503.0,235.0,13.0,24.0,34,003,026100
34003026200,2013,697.0,302.0,63.0,18.0,675.0,337.0,26.0,6.0,34,003,026200
34003027000,2013,543.0,324.0,89.0,38.0,655.0,294.0,81.0,0.0,34,003,027000
34003028001,2013,715.0,244.0,107.0,29.0,431.0,486.0,37.0,26.0,34,003,028001
34003028002,2013,397.0,342.0,78.0,55.0,487.0,311.0,64.0,31.0,34,003,028002
34003029100,2013,405.0,130.0,0.0,34.0,474.0,92.0,45.0,8.0,34,003,029100
34003029200,2013,417.0,182.0,28.0,0.0,473.0,123.0,0.0,0.0,34,003,029200
34003030100,2013,175.0,52.0,12.0,0.0,422.0,69.0,0.0,0.0,34,003,030100
34003030200,2013,432.0,178.0,0.0,0.0,453.0,40.0,0.0,12.0,34,003,030200
34003030300,2013,235.0,55.0,24.0,6.0,179.0,140.0,52.0,9.0,34,003,030300
34003030400,2013,564.0,109.0,0.0,16.0,464.0,88.0,14.0,2.0,34,003,030400
34003031100,2013,444.0,260.0,0.0,0.0,488.0,108.0,46.0,24.0,34,003,031100
34003031200,2013,282.0,173.0,0.0,0.0,377.0,152.0,28.0,8.0,34,003,031200
34003031300,2013,265.0,239.0,0.0,31.0,511.0,156.0,16.0,49.0,34,003,031300
34003031400,2013,419.0,140.0,41.0,16.0,235.0,176.0,18.0,0.0,34,003,031400
34003032102,2013,794.0,356.0,127.0,21.0,628.0,562.0,76.0,0.0,34,003,032102
34003032103,2013,739.0,227.0,43.0,46.0,545.0,432.0,19.0,34.0,34,003,032103
34003032104,2013,159.0,37.0,23.0,0.0,230.0,77.0,2.0,5.0,34,003,032104
34003032201,2013,560.0,402.0,107.0,50.0,640.0,363.0,132.0,13.0,34,003,032201
34003032202,2013,433.0,180.0,121.0,2.0,628.0,360.0,113.0,22.0,34,003,032202
34003033100,2013,356.0,131.0,20.0,28.0,307.0,227.0,14.0,0.0,34,003,033100
34003033200,2013,217.0,113.0,24.0,10.0,268.0,59.0,33.0,12.0,34,003,033200
34003033300,2013,315.0,143.0,41.0,0.0,316.0,110.0,71.0,0.0,34,003,033300
34003034000,2013,811.0,377.0,54.0,18.0,927.0,378.0,37.0,15.0,34,003,034000
34003035100,2013,768.0,420.0,158.0,59.0,1091.0,408.0,99.0,58.0,34,003,035100
34003035200,2013,798.0,402.0,243.0,31.0,653.0,510.0,76.0,4.0,34,003,035200
34003036100,2013,126.0,30.0,34.0,0.0,191.0,42.0,18.0,0.0,34,003,036100
34003036200,2013,103.0,34.0,0.0,3.0,185.0,39.0,0.0,13.0,34,003,036200
34003037100,2013,513.0,216.0,63.0,0.0,464.0,174.0,72.0,0.0,34,003,037100
34003037201,2013,360.0,145.0,46.0,37.0,293.0,176.0,18.0,0.0,34,003,037201
34003037202,2013,553.0,238.0,62.0,38.0,747.0,161.0,14.0,29.0,34,003,037202
34003038100,2013,327.0,133.0,22.0,26.0,334.0,239.0,23.0,0.0,34,003,038100
34003038200,2013,259.0,303.0,8.0,1.0,402.0,136.0,31.0,3.0,34,003,038200
34003038300,2013,363.0,85.0,46.0,72.0,549.0,108.0,35.0,15.0,34,003,038300
34003039100,2013,456.0,104.0,40.0,18.0,421.0,207.0,64.0,0.0,34,003,039100
34003039200,2013,452.0,405.0,61.0,16.0,617.0,352.0,25.0,8.0,34,003,039200
34003039300,2013,323.0,199.0,24.0,6.0,339.0,188.0,4.0,0.0,34,003,039300
34003040001,2013,447.0,207.0,167.0,1.0,521.0,231.0,47.0,8.0,34,003,040001
34003040002,2013,535.0,142.0,113.0,57.0,587.0,216.0,31.0,17.0,34,003,040002
34003041100,2013,801.0,172.0,15.0,0.0,665.0,59.0,16.0,0.0,34,003,041100
34003041200,2013,372.0,156.0,54.0,33.0,704.0,105.0,22.0,0.0,34,003,041200
34003041301,2013,628.0,34.0,0.0,0.0,520.0,110.0,19.0,0.0,34,003,041301
34003041302,2013,508.0,165.0,23.0,1.0,282.0,199.0,18.0,71.0,34,003,041302
34003042100,2013,656.0,286.0,140.0,38.0,710.0,390.0,62.0,37.0,34,003,042100
34003042301,2013,489.0,182.0,128.0,42.0,639.0,171.0,69.0,20.0,34,003,042301
34003042302,2013,567.0,292.0,41.0,24.0,582.0,201.0,65.0,15.0,34,003,042302
34003042400,2013,506.0,158.0,149.0,68.0,467.0,156.0,95.0,38.0,34,003,042400
34003042500,2013,577.0,134.0,133.0,45.0,620.0,291.0,13.0,34.0,34,003,042500
34003043001,2013,400.0,119.0,45.0,27.0,504.0,234.0,16.0,40.0,34,003,043001
34003043002,2013,478.0,212.0,41.0,11.0,469.0,227.0,88.0,0.0,34,003,043002
34003044100,2013,793.0,357.0,205.0,32.0,448.0,442.0,74.0,28.0,34,003,044100
34003044201,2013,555.0,153.0,44.0,0.0,466.0,260.0,41.0,5.0,34,003,044201
34003044202,2013,660.0,254.0,56.0,2.0,520.0,304.0,47.0,18.0,34,003,044202
34003045100,2013,700.0,226.0,44.0,17.0,619.0,220.0,19.0,10.0,34,003,045100
34003045200,2013,300.0,101.0,35.0,0.0,318.0,78.0,43.0,0.0,34,003,045200
34003046100,2013,274.0,117.0,27.0,0.0,345.0,69.0,30.0,18.0,34,003,046100
34003046200,2013,388.0,65.0,0.0,22.0,340.0,130.0,36.0,0.0,34,003,046200
34003046300,2013,189.0,111.0,18.0,0.0,385.0,117.0,8.0,5.0,34,003,046300
34003047100,2013,675.0,592.0,146.0,70.0,778.0,416.0,130.0,36.0,34,003,047100
34003047200,2013,505.0,302.0,197.0,36.0,618.0,283.0,112.0,46.0,34,003,047200
34003047300,2013,429.0,157.0,144.0,19.0,447.0,237.0,71.0,17.0,34,003,047300
34003047400,2013,764.0,328.0,79.0,101.0,793.0,398.0,54.0,78.0,34,003,047400
34003047500,2013,877.0,406.0,245.0,84.0,1001.0,456.0,98.0,27.0,34,003,047500
34003048100,2013,383.0,182.0,33.0,54.0,351.0,228.0,40.0,53.0,34,003,048100
34003048200,2013,754.0,561.0,53.0,45.0,1023.0,385.0,61.0,67.0,34,003,048200
34003049001,2013,559.0,243.0,147.0,34.0,604.0,275.0,81.0,7.0,34,003,049001
34003049002,2013,686.0,180.0,63.0,14.0,661.0,243.0,14.0,0.0,34,003,049002
34003050000,2013,499.0,186.0,21.0,29.0,386.0,274.0,4.0,0.0,34,003,050000
34003051100,2013,515.0,213.0,52.0,46.0,395.0,336.0,41.0,27.0,34,003,051100
34003051200,2013,258.0,112.0,62.0,3.0,354.0,119.0,29.0,0.0,34,003,051200
34003051300,2013,611.0,250.0,60.0,11.0,460.0,153.0,41.0,0.0,34,003,051300
34003051400,2013,609.0,245.0,88.0,33.0,606.0,273.0,11.0,6.0,34,003,051400
34003052100,2013,506.0,164.0,44.0,25.0,477.0,129.0,46.0,0.0,34,003,052100
34003052200,2013,516.0,162.0,0.0,48.0,610.0,232.0,18.0,0.0,34,003,052200
34003053100,2013,276.0,226.0,100.0,43.0,337.0,129.0,71.0,0.0,34,003,053100
34003053200,2013,970.0,556.0,333.0,91.0,1100.0,587.0,64.0,75.0,34,003,053200
34003054100,2013,425.0,300.0,134.0,35.0,1099.0,317.0,140.0,11.0,34,003,054100
34003054200,2013,252.0,130.0,43.0,0.0,478.0,276.0,0.0,6.0,34,003,054200
34003054300,2013,635.0,455.0,273.0,274.0,837.0,597.0,129.0,55.0,34,003,054300
