geoid,year,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,state,county,tract
34003022200,2014,963.0,438.0,234.0,39.0,1032.0,411.0,150.0,63.0,34,003,022200
34003023100,2014,159.0,6.0,0.0,22.0,214.0,33.0,6.0,27.0,34,003,023100
34003023200,2014,481.0,363.0,33.0,34.0,606.0,221.0,17.0,73.0,34,003,023200
34003023301,2014,166.0,72.0,57.0,8.0,261.0,124.0,21.0,0.0,34,003,023301
34003023302,2014,748.0,185.0,77.0,57.0,733.0,327.0,122.0,0.0,34,003,023302
34003023401,2014,425.0,203.0,102.0,51.0,399.0,387.0,27.0,47.0,34,003,023401
34003023402,2014,264.0,57.0,1.0,98.0,395.0,194.0,0.0,0.0,34,003,023402
34003023501,2014,131.0,12.0,14.0,0.0,209.0,38.0,12.0,0.0,34,003,023501
34003023502,2014,206.0,217.0,45.0,12.0,303.0,184.0,51.0,30.0,34,003,023502
34003023601,2014,224.0,9.0,8.0,0.0,117.0,0.0,0.0,0.0,34,003,023601
34003023602,2014,275.0,24.0,11.0,0.0,191.0,113.0,21.0,10.0,34,003,023602
34003024100,2014,600.0,291.0,196.0,26.0,647.0,373.0,55.0,19.0,34,003,024100
34003024200,2014,640.0,287.0,102.0,34.0,408.0,338.0,11.0,32.0,34,003,024200
34003025100,2014,538.0,146.0,38.0,0.0,480.0,393.0,0.0,24.0,34,003,025100
34003025200,2014,653.0,99.0,49.0,13.0,576.0,292.0,0.0,38.0,34,003,025200
34003026100,2014,454.0,197.0,49.0,20.0,479.0,264.0,14.0,34.0,34,003,026100
34003026200,2014,750.0,296.0,77.0,33.0,695.0,342.0,27.0,16.0,34,003,026200
34003027000,2014,583.0,314.0,119.0,41.0,696.0,295.0,56.0,0.0,34,003,027000
34003028001,2014,810.0,177.0,89.0,26.0,527.0,451.0,52.0,30.0,34,003,028001
34003028002,2014,390.0,299.0,36.0,48.0,503.0,313.0,60.0,3.0,34,003,028002
34003029100,2014,411.0,149.0,0.0,9.0,511.0,79.0,48.0,0.0,34,003,029100
34003029200,2014,352.0,166.0,33.0,0.0,429.0,201.0,0.0,0.0,34,003,029200
34003030100,2014,247.0,50.0,12.0,0.0,427.0,55.0,0.0,0.0,34,003,030100
34003030200,2014,461.0,206.0,0.0,0.0,457.0,33.0,0.0,11.0,34,003,030200
34003030300,2014,230.0,51.0,24.0,7.0,242.0,98.0,29.0,15.0,34,003,030300
34003030400,2014,476.0,130.0,0.0,1.0,446.0,181.0,13.0,0.0,34,003,030400
34003031100,2014,363.0,268.0,111.0,0.0,543.0,156.0,109.0,20.0,34,003,031100
34003031200,2014,329.0,200.0,10.0,0.0,386.0,120.0,23.0,13.0,34,003,031200
34003031300,2014,253.0,190.0,0.0,31.0,371.0,91.0,17.0,56.0,34,003,031300
34003031400,2014,338.0,85.0,21.0,0.0,269.0,139.0,15.0,0.0,34,003,031400
34003032102,2014,724.0,398.0,110.0,15.0,629.0,529.0,78.0,0.0,34,003,032102
34003032103,2014,692.0,258.0,73.0,75.0,501.0,596.0,45.0,38.0,34,003,032103
34003032104,2014,194.0,39.0,15.0,0.0,204.0,75.0,4.0,8.0,34,003,032104
34003032201,2014,674.0,344.0,122.0,18.0,630.0,425.0,95.0,14.0,34,003,032201
34003032202,2014,380.0,217.0,71.0,0.0,587.0,437.0,59.0,25.0,34,003,032202
34003033100,2014,366.0,137.0,8.0,30.0,263.0,258.0,12.0,0.0,34,003,033100
34003033200,2014,227.0,77.0,20.0,10.0,263.0,86.0,30.0,0.0,34,003,033200
34003033300,2014,245.0,119.0,34.0,0.0,283.0,106.0,35.0,0.0,34,003,033300
34003034000,2014,918.0,348.0,45.0,30.0,918.0,432.0,41.0,17.0,34,003,034000
34003035100,2014,631.0,486.0,174.0,94.0,1049.0,373.0,44.0,61.0,34,003,035100
34003035200,2014,848.0,368.0,280.0,26.0,708.0,521.0,58.0,18.0,34,003,035200
34003036100,2014,89.0,29.0,9.0,0.0,132.0,42.0,14.0,0.0,34,003,036100
34003036200,2014,100.0,33.0,0.0,5.0,194.0,42.0,0.0,10.0,34,003,036200
34003037100,2014,616.0,237.0,81.0,7.0,426.0,193.0,52.0,0.0,34,003,037100
34003037201,2014,359.0,170.0,75.0,9.0,332.0,162.0,45.0,0.0,34,003,037201
34003037202,2014,633.0,266.0,69.0,46.0,668.0,178.0,18.0,31.0,34,003,037202
34003038100,2014,332.0,117.0,28.0,20.0,353.0,225.0,20.0,0.0,34,003,038100
34003038200,2014,332.0,194.0,6.0,1.0,433.0,139.0,30.0,3.0,34,003,038200
34003038300,2014,319.0,202.0,47.0,70.0,468.0,183.0,31.0,13.0,34,003,038300
34003039100,2014,374.0,148.0,47.0,18.0,407.0,199.0,52.0,0.0,34,003,039100
