,geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
0,34003001000,2012,"Census Tract 10, Bergen County, New Jersey",6549.0,133750.0,695100.0,5359.0,150.0,0.0,642.0,0.0,0.0,43.0,355.0,34,003,001000
1,34003002100,2012,"Census Tract 21, Bergen County, New Jersey",2006.0,159167.0,1000001.0,1230.0,27.0,5.0,529.0,0.0,0.0,27.0,188.0,34,003,002100
2,34003002200,2012,"Census Tract 22, Bergen County, New Jersey",5151.0,87313.0,489300.0,3446.0,33.0,0.0,1206.0,0.0,13.0,22.0,431.0,34,003,002200
3,34003002300,2012,"Census Tract 23, Bergen County, New Jersey",5729.0,91667.0,690700.0,3605.0,107.0,0.0,1773.0,0.0,0.0,56.0,188.0,34,003,002300
4,34003003100,2012,"Census Tract 31, Bergen County, New Jersey",5068.0,91149.0,346000.0,1825.0,443.0,0.0,1198.0,0.0,0.0,41.0,1561.0,34,003,003100
5,34003003200,2012,"Census Tract 32, Bergen County, New Jersey",4422.0,57153.0,336500.0,1665.0,54.0,0.0,1249.0,0.0,76.0,89.0,1289.0,34,003,003200
6,34003003300,2012,"Census Tract 33, Bergen County, New Jersey",6265.0,92097.0,355400.0,2849.0,506.0,0.0,1597.0,0.0,51.0,234.0,1028.0,34,003,003300
7,34003003401,2012,"Census Tract 34.01, Bergen County, New Jersey",3023.0,111643.0,388800.0,2003.0,5.0,0.0,504.0,0.0,36.0,52.0,423.0,34,003,003401
8,34003003402,2012,"Census Tract 34.02, Bergen County, New Jersey",3936.0,100467.0,377000.0,2388.0,30.0,0.0,726.0,0.0,9.0,105.0,678.0,34,003,003402
9,34003003500,2012,"Census Tract 35, Bergen County, New Jersey",4060.0,46406.0,371200.0,1512.0,225.0,9.0,785.0,0.0,0.0,150.0,1388.0,34,003,003500
10,34003004001,2012,"Census Tract 40.01, Bergen County, New Jersey",3254.0,106339.0,345700.0,1474.0,142.0,0.0,260.0,0.0,69.0,74.0,1235.0,34,003,004001
11,34003004002,2012,"Census Tract 40.02, Bergen County, New Jersey",4946.0,74088.0,346700.0,2191.0,211.0,0.0,961.0,0.0,13.0,14.0,1556.0,34,003,004002
12,34003005000,2012,"Census Tract 50, Bergen County, New Jersey",6161.0,68980.0,401800.0,4342.0,26.0,20.0,820.0,0.0,59.0,58.0,836.0,34,003,005000
13,34003006100,2012,"Census Tract 61, Bergen County, New Jersey",6232.0,55250.0,416300.0,3472.0,178.0,0.0,753.0,0.0,0.0,15.0,1814.0,34,003,006100
14,34003006201,2012,"Census Tract 62.01, Bergen County, New Jersey",4582.0,60455.0,470000.0,2733.0,78.0,0.0,576.0,0.0,7.0,41.0,1147.0,34,003,006201
15,34003006202,2012,"Census Tract 62.02, Bergen County, New Jersey",4670.0,77865.0,384400.0,2979.0,293.0,6.0,797.0,0.0,0.0,163.0,432.0,34,003,006202
16,34003006300,2012,"Census Tract 63, Bergen County, New Jersey",8134.0,62889.0,387900.0,4051.0,53.0,0.0,482.0,0.0,0.0,96.0,3452.0,34,003,006300
17,34003007001,2012,"Census Tract 70.01, Bergen County, New Jersey",4040.0,120365.0,601700.0,2612.0,44.0,5.0,1069.0,0.0,0.0,26.0,284.0,34,003,007001
18,34003007002,2012,"Census Tract 70.02, Bergen County, New Jersey",4357.0,117005.0,812000.0,2637.0,12.0,0.0,1576.0,0.0,0.0,9.0,123.0,34,003,007002
19,34003008000,2012,"Census Tract 80, Bergen County, New Jersey",8541.0,105125.0,546000.0,5594.0,23.0,32.0,1882.0,0.0,0.0,0.0,1042.0,34,003,008000
20,34003009100,2012,"Census Tract 91, Bergen County, New Jersey",4909.0,143807.0,721600.0,3411.0,4.0,0.0,1232.0,0.0,14.0,11.0,237.0,34,003,009100
21,34003009200,2012,"Census Tract 92, Bergen County, New Jersey",3382.0,133036.0,695400.0,2838.0,74.0,0.0,374.0,0.0,6.0,46.0,44.0,34,003,009200
22,34003010100,2012,"Census Tract 101, Bergen County, New Jersey",6014.0,90541.0,380300.0,4178.0,122.0,0.0,1159.0,0.0,0.0,62.0,493.0,34,003,010100
23,34003010200,2012,"Census Tract 102, Bergen County, New Jersey",4291.0,63125.0,356200.0,2436.0,56.0,45.0,772.0,0.0,0.0,52.0,968.0,34,003,010200
24,34003010300,2012,"Census Tract 103, Bergen County, New Jersey",7200.0,102939.0,392600.0,4935.0,0.0,0.0,974.0,0.0,27.0,30.0,1234.0,34,003,010300
25,34003011100,2012,"Census Tract 111, Bergen County, New Jersey",4351.0,64875.0,379100.0,2083.0,377.0,8.0,313.0,0.0,50.0,164.0,1364.0,34,003,011100
26,34003011200,2012,"Census Tract 112, Bergen County, New Jersey",4648.0,58095.0,377600.0,2770.0,158.0,0.0,546.0,0.0,0.0,54.0,1120.0,34,003,011200
27,34003011300,2012,"Census Tract 113, Bergen County, New Jersey",4562.0,83889.0,397700.0,3018.0,74.0,0.0,511.0,0.0,0.0,83.0,876.0,34,003,011300
28,34003011400,2012,"Census Tract 114, Bergen County, New Jersey",5900.0,64891.0,413300.0,4307.0,208.0,11.0,281.0,0.0,0.0,0.0,1104.0,34,003,011400
29,34003012001,2012,"Census Tract 120.01, Bergen County, New Jersey",5660.0,67333.0,449100.0,2744.0,150.0,0.0,1434.0,0.0,0.0,36.0,1296.0,34,003,012001
30,34003012002,2012,"Census Tract 120.02, Bergen County, New Jersey",3249.0,68932.0,355700.0,2286.0,35.0,0.0,363.0,0.0,44.0,82.0,439.0,34,003,012002
31,34003013001,2012,"Census Tract 130.01, Bergen County, New Jersey",5922.0,106187.0,563200.0,2080.0,275.0,0.0,2837.0,0.0,0.0,96.0,634.0,34,003,013001
32,34003013002,2012,"Census Tract 130.02, Bergen County, New Jersey",5503.0,102630.0,541200.0,2931.0,463.0,38.0,1170.0,0.0,0.0,104.0,835.0,34,003,013002
33,34003014000,2012,"Census Tract 140, Bergen County, New Jersey",7471.0,105942.0,486900.0,6087.0,190.0,0.0,449.0,0.0,15.0,89.0,641.0,34,003,014000
34,34003015100,2012,"Census Tract 151, Bergen County, New Jersey",2491.0,132153.0,1000001.0,1815.0,147.0,0.0,144.0,0.0,18.0,48.0,319.0,34,003,015100
35,34003015200,2012,"Census Tract 152, Bergen County, New Jersey",5958.0,70156.0,394300.0,1605.0,2146.0,13.0,626.0,0.0,0.0,105.0,1476.0,34,003,015200
36,34003015300,2012,"Census Tract 153, Bergen County, New Jersey",5847.0,54375.0,339600.0,156.0,3851.0,37.0,508.0,46.0,18.0,301.0,930.0,34,003,015300
37,34003015400,2012,"Census Tract 154, Bergen County, New Jersey",6178.0,54238.0,403700.0,1426.0,1679.0,0.0,1239.0,0.0,43.0,125.0,1666.0,34,003,015400
38,34003015500,2012,"Census Tract 155, Bergen County, New Jersey",6731.0,115331.0,605300.0,4224.0,855.0,52.0,290.0,0.0,218.0,51.0,1041.0,34,003,015500
39,34003016000,2012,"Census Tract 160, Bergen County, New Jersey",5297.0,132617.0,978700.0,2739.0,38.0,34.0,2026.0,0.0,13.0,47.0,400.0,34,003,016000
40,34003017100,2012,"Census Tract 171, Bergen County, New Jersey",6843.0,110219.0,484500.0,5845.0,35.0,0.0,525.0,0.0,0.0,45.0,393.0,34,003,017100
41,34003017200,2012,"Census Tract 172, Bergen County, New Jersey",5797.0,81250.0,360300.0,4369.0,115.0,12.0,593.0,0.0,29.0,74.0,611.0,34,003,017200
42,34003017300,2012,"Census Tract 173, Bergen County, New Jersey",6341.0,101383.0,398200.0,4817.0,213.0,55.0,518.0,0.0,0.0,19.0,719.0,34,003,017300
43,34003017400,2012,"Census Tract 174, Bergen County, New Jersey",5076.0,107339.0,447900.0,3916.0,44.0,0.0,581.0,0.0,0.0,25.0,510.0,34,003,017400
44,34003017500,2012,"Census Tract 175, Bergen County, New Jersey",8422.0,91721.0,389600.0,5536.0,46.0,11.0,1126.0,0.0,0.0,172.0,1542.0,34,003,017500
45,34003018100,2012,"Census Tract 181, Bergen County, New Jersey",7124.0,35044.0,389600.0,2739.0,32.0,0.0,115.0,0.0,0.0,64.0,4174.0,34,003,018100
46,34003018200,2012,"Census Tract 182, Bergen County, New Jersey",6764.0,53784.0,396300.0,2630.0,84.0,0.0,1237.0,0.0,109.0,281.0,2423.0,34,003,018200
47,34003019102,2012,"Census Tract 191.02, Bergen County, New Jersey",2696.0,55153.0,266700.0,1418.0,44.0,0.0,912.0,0.0,0.0,34.0,288.0,34,003,019102
48,34003019103,2012,"Census Tract 191.03, Bergen County, New Jersey",3795.0,66483.0,132600.0,1408.0,60.0,13.0,1828.0,0.0,26.0,56.0,404.0,34,003,019103
49,34003019104,2012,"Census Tract 191.04, Bergen County, New Jersey",4165.0,81521.0,249300.0,1386.0,60.0,0.0,1717.0,0.0,0.0,111.0,891.0,34,003,019104
50,34003019202,2012,"Census Tract 192.02, Bergen County, New Jersey",1380.0,55052.0,433500.0,593.0,43.0,0.0,549.0,0.0,18.0,0.0,177.0,34,003,019202
51,34003019203,2012,"Census Tract 192.03, Bergen County, New Jersey",2815.0,74566.0,195100.0,1665.0,0.0,0.0,800.0,0.0,0.0,19.0,331.0,34,003,019203
52,34003019204,2012,"Census Tract 192.04, Bergen County, New Jersey",3835.0,47102.0,303000.0,1922.0,32.0,0.0,1213.0,0.0,0.0,63.0,605.0,34,003,019204
53,34003019303,2012,"Census Tract 193.03, Bergen County, New Jersey",5360.0,73902.0,419000.0,1735.0,54.0,0.0,2571.0,0.0,0.0,294.0,706.0,34,003,019303
54,34003019304,2012,"Census Tract 193.04, Bergen County, New Jersey",2767.0,64858.0,549500.0,1374.0,0.0,0.0,848.0,0.0,9.0,0.0,536.0,34,003,019304
55,34003019305,2012,"Census Tract 193.05, Bergen County, New Jersey",6294.0,91509.0,443400.0,3757.0,155.0,0.0,1833.0,0.0,0.0,14.0,535.0,34,003,019305
