,geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
0,34003001000,2014,"Census Tract 10, Bergen County, New Jersey",6666.0,124821.0,656300.0,5304.0,105.0,0.0,943.0,0.0,0.0,17.0,297.0,34,003,001000
1,34003002100,2014,"Census Tract 21, Bergen County, New Jersey",1710.0,132250.0,1000001.0,994.0,118.0,0.0,484.0,0.0,0.0,27.0,87.0,34,003,002100
2,34003002200,2014,"Census Tract 22, Bergen County, New Jersey",5233.0,82688.0,469000.0,3745.0,97.0,3.0,1082.0,0.0,29.0,32.0,245.0,34,003,002200
3,34003002300,2014,"Census Tract 23, Bergen County, New Jersey",5769.0,97962.0,616600.0,3328.0,97.0,0.0,1993.0,0.0,0.0,0.0,351.0,34,003,002300
4,34003003100,2014,"Census Tract 31, Bergen County, New Jersey",4792.0,80789.0,316300.0,1864.0,477.0,0.0,903.0,0.0,13.0,17.0,1518.0,34,003,003100
5,34003003200,2014,"Census Tract 32, Bergen County, New Jersey",4787.0,65217.0,318800.0,1351.0,127.0,0.0,1568.0,0.0,5.0,67.0,1669.0,34,003,003200
6,34003003300,2014,"Census Tract 33, Bergen County, New Jersey",6400.0,91500.0,338900.0,2238.0,297.0,0.0,1676.0,0.0,70.0,220.0,1899.0,34,003,003300
7,34003003401,2014,"Census Tract 34.01, Bergen County, New Jersey",2933.0,114223.0,380900.0,1889.0,59.0,0.0,360.0,0.0,9.0,20.0,596.0,34,003,003401
8,34003003402,2014,"Census Tract 34.02, Bergen County, New Jersey",3860.0,100114.0,366300.0,2052.0,45.0,0.0,760.0,0.0,26.0,193.0,784.0,34,003,003402
9,34003003500,2014,"Census Tract 35, Bergen County, New Jersey",4385.0,45000.0,348500.0,988.0,494.0,13.0,1123.0,0.0,0.0,13.0,1767.0,34,003,003500
10,34003004001,2014,"Census Tract 40.01, Bergen County, New Jersey",3395.0,79242.0,330300.0,1460.0,163.0,0.0,196.0,0.0,48.0,120.0,1408.0,34,003,004001
11,34003004002,2014,"Census Tract 40.02, Bergen County, New Jersey",4882.0,74549.0,317300.0,2018.0,164.0,0.0,822.0,0.0,20.0,17.0,1841.0,34,003,004002
12,34003005000,2014,"Census Tract 50, Bergen County, New Jersey",6189.0,71847.0,383100.0,3956.0,27.0,23.0,660.0,0.0,47.0,50.0,1426.0,34,003,005000
13,34003006100,2014,"Census Tract 61, Bergen County, New Jersey",6891.0,57460.0,408000.0,3888.0,101.0,0.0,786.0,0.0,66.0,22.0,2028.0,34,003,006100
14,34003006201,2014,"Census Tract 62.01, Bergen County, New Jersey",4923.0,47135.0,436700.0,2621.0,65.0,0.0,648.0,0.0,36.0,43.0,1510.0,34,003,006201
15,34003006202,2014,"Census Tract 62.02, Bergen County, New Jersey",4850.0,78774.0,378900.0,2756.0,207.0,0.0,1153.0,26.0,22.0,175.0,511.0,34,003,006202
