geoid,year,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,state,county,tract
34003001000,2011,870.0,433.0,61.0,63.0,753.0,379.0,31.0,16.0,34,003,001000
34003002100,2011,275.0,108.0,120.0,14.0,318.0,85.0,69.0,9.0,34,003,002100
34003002200,2011,384.0,146.0,40.0,16.0,376.0,177.0,15.0,6.0,34,003,002200
34003002300,2011,601.0,231.0,68.0,7.0,825.0,198.0,35.0,19.0,34,003,002300
34003003100,2011,406.0,116.0,41.0,6.0,553.0,176.0,32.0,0.0,34,003,003100
34003003200,2011,498.0,51.0,9.0,17.0,435.0,64.0,38.0,10.0,34,003,003200
34003003300,2011,550.0,176.0,18.0,16.0,599.0,235.0,61.0,0.0,34,003,003300
34003003401,2011,302.0,70.0,79.0,3.0,264.0,170.0,21.0,24.0,34,003,003401
34003003402,2011,358.0,74.0,74.0,29.0,382.0,69.0,23.0,10.0,34,003,003402
34003003500,2011,250.0,75.0,32.0,13.0,520.0,78.0,24.0,14.0,34,003,003500
34003004001,2011,154.0,49.0,36.0,0.0,234.0,64.0,42.0,0.0,34,003,004001
34003004002,2011,313.0,177.0,12.0,15.0,264.0,215.0,60.0,13.0,34,003,004002
34003005000,2011,499.0,133.0,55.0,60.0,445.0,173.0,0.0,0.0,34,003,005000
34003006100,2011,504.0,88.0,83.0,39.0,559.0,223.0,102.0,15.0,34,003,006100
34003006201,2011,339.0,163.0,27.0,16.0,493.0,175.0,16.0,0.0,34,003,006201
34003006202,2011,684.0,228.0,116.0,83.0,743.0,221.0,75.0,116.0,34,003,006202
34003006300,2011,692.0,226.0,83.0,39.0,882.0,283.0,102.0,66.0,34,003,006300
34003007001,2011,417.0,234.0,54.0,57.0,567.0,161.0,89.0,0.0,34,003,007001
34003007002,2011,500.0,243.0,178.0,34.0,602.0,143.0,68.0,26.0,34,003,007002
34003008000,2011,912.0,335.0,297.0,75.0,1140.0,451.0,186.0,11.0,34,003,008000
34003009100,2011,657.0,191.0,195.0,72.0,483.0,397.0,124.0,28.0,34,003,009100
34003009200,2011,400.0,203.0,122.0,51.0,443.0,198.0,60.0,27.0,34,003,009200
34003010100,2011,591.0,165.0,14.0,0.0,740.0,89.0,53.0,11.0,34,003,010100
34003010200,2011,498.0,124.0,21.0,8.0,308.0,98.0,32.0,0.0,34,003,010200
34003010300,2011,643.0,256.0,66.0,0.0,562.0,299.0,55.0,45.0,34,003,010300
34003011100,2011,231.0,43.0,0.0,0.0,245.0,95.0,15.0,0.0,34,003,011100
34003011200,2011,218.0,120.0,24.0,11.0,319.0,110.0,0.0,12.0,34,003,011200
34003011300,2011,210.0,51.0,57.0,43.0,417.0,101.0,18.0,25.0,34,003,011300
34003011400,2011,338.0,72.0,57.0,0.0,370.0,166.0,0.0,0.0,34,003,011400
34003012001,2011,453.0,143.0,54.0,13.0,544.0,151.0,20.0,0.0,34,003,012001
34003012002,2011,401.0,84.0,32.0,3.0,205.0,166.0,19.0,0.0,34,003,012002
34003013001,2011,701.0,490.0,284.0,301.0,1255.0,273.0,169.0,33.0,34,003,013001
34003013002,2011,851.0,289.0,67.0,46.0,878.0,515.0,99.0,16.0,34,003,013002
34003014000,2011,769.0,143.0,27.0,37.0,823.0,304.0,51.0,15.0,34,003,014000
34003015100,2011,224.0,133.0,206.0,21.0,315.0,231.0,76.0,0.0,34,003,015100
34003015200,2011,447.0,167.0,72.0,29.0,644.0,267.0,151.0,28.0,34,003,015200
34003015300,2011,285.0,75.0,18.0,0.0,359.0,293.0,43.0,0.0,34,003,015300
34003015400,2011,396.0,194.0,117.0,30.0,511.0,192.0,40.0,30.0,34,003,015400
34003015500,2011,734.0,201.0,374.0,24.0,835.0,214.0,128.0,68.0,34,003,015500
34003016000,2011,649.0,249.0,236.0,10.0,888.0,245.0,128.0,2.0,34,003,016000
34003017100,2011,969.0,501.0,181.0,177.0,854.0,489.0,89.0,15.0,34,003,017100
